0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,526851,38,0,0,0,0,0,0,0,0,0,526889,62099,4,0,0,0,0,0,0,0,0,0,62103,-1823,0,0,0,0,0,0,0,0,0,0,-1823,-215,0,0,0,0,0,0,0,0,0,0,-215,-2548,-6,0,0,0,0,0,0,0,0,0,-2554,-298,-1,0,0,0,0,0,0,0,0,0,-299,505062,32,0,0,0,0,0,0,0,0,0,505094,58987,4,0,0,0,0,0,0,0,0,0,58991
2,Capital Goods,410783,731,28,0,0,0,0,0,0,0,0,411542,48418,86,3,0,0,0,0,0,0,0,0,48507,2657,-4,0,0,0,0,0,0,0,0,0,2653,313,0,0,0,0,0,0,0,0,0,0,313,471,-4,0,0,0,0,0,0,0,0,0,467,55,0,0,0,0,0,0,0,0,0,0,55,386345,727,27,0,0,0,0,0,0,0,0,387099,45122,85,3,0,0,0,0,0,0,0,0,45210
3,Chemicals,119064,0,615,0,0,0,0,0,0,0,0,119679,14034,0,72,0,0,0,0,0,0,0,0,14106,646,0,0,0,0,0,0,0,0,0,0,646,76,0,0,0,0,0,0,0,0,0,0,76,-46,0,0,0,0,0,0,0,0,0,0,-46,-5,0,0,0,0,0,0,0,0,0,0,-5,112261,0,615,0,0,0,0,0,0,0,0,112876,13111,0,72,0,0,0,0,0,0,0,0,13183
4,Construction,148280,114,0,0,0,0,0,0,0,0,0,148394,17477,13,0,0,0,0,0,0,0,0,0,17490,1148,0,0,0,0,0,0,0,0,0,0,1148,135,0,0,0,0,0,0,0,0,0,0,135,260,-1,0,0,0,0,0,0,0,0,0,259,30,0,0,0,0,0,0,0,0,0,0,30,139955,113,0,0,0,0,0,0,0,0,0,140068,16345,13,0,0,0,0,0,0,0,0,0,16358
5,Construction Materials,125672,1275,320,0,0,0,0,0,0,0,0,127267,14813,150,38,0,0,0,0,0,0,0,0,15001,-174,0,0,0,0,0,0,0,0,0,0,-174,-21,0,0,0,0,0,0,0,0,0,0,-21,-196,0,0,0,0,0,0,0,0,0,0,-196,-23,0,0,0,0,0,0,0,0,0,0,-23,117666,1275,320,0,0,0,0,0,0,0,0,119261,13742,149,37,0,0,0,0,0,0,0,0,13928
6,Consumer Durables,224785,0,0,0,0,0,0,0,0,0,0,224785,26495,0,0,0,0,0,0,0,0,0,0,26495,-748,0,0,0,0,0,0,0,0,0,0,-748,-88,0,0,0,0,0,0,0,0,0,0,-88,-152,0,0,0,0,0,0,0,0,0,0,-152,-18,0,0,0,0,0,0,0,0,0,0,-18,218756,0,0,0,0,0,0,0,0,0,0,218756,25549,0,0,0,0,0,0,0,0,0,0,25549
