0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,155055,317,0,155372,21618,44,0,21662,-843,0,0,-843,-117,0,0,-117,-21,0,0,-21,-3,0,0,-3,153254,317,0,153571,21671,45,0,21716
2,Total Financial Services,1149832,43996,9937,1203765,160310,6134,1385,167829,9434,-2782,78,6730,1315,-388,11,938,1157,-629,44,572,164,-89,6,81,1161854,43470,9747,1215071,164294,6147,1378,171819
2a,Banks,688614,7774,0,696388,96007,1084,0,97091,9814,92,0,9906,1368,13,0,1381,134,24,0,158,19,3,0,22,694465,7924,0,702389,98202,1120,0,99322
2b,Other Financial Services1,461218,36222,9937,507377,64303,5050,1385,70738,-380,-2875,78,-3177,-53,-401,11,-443,1023,-653,44,414,145,-92,6,59,467389,35547,9747,512683,66092,5027,1378,72497
3,Capital Goods,96022,483,0,96505,13387,67,0,13454,113,0,0,113,16,0,0,16,-1483,0,0,-1483,-210,0,0,-210,93509,483,0,93992,13223,68,0,13291
4,Chemicals & Petrochemicals,42084,0,0,42084,5867,0,0,5867,-248,0,0,-248,-35,0,0,-35,88,0,0,88,12,0,0,12,41692,0,0,41692,5896,0,0,5896
5,Coal,10985,0,0,10985,1531,0,0,1531,-35,0,0,-35,-5,0,0,-5,-133,0,0,-133,-19,0,0,-19,10487,0,0,10487,1483,0,0,1483
