0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on March 31, 2015","AUC as on March 31, 2015","AUC as on March 31, 2015","AUC as on March 31, 2015","AUC as on March 31, 2015","AUC as on March 31, 2015","Net Investment March 16-31, 2015","Net Investment March 16-31, 2015","Net Investment March 16-31, 2015","Net Investment March 16-31, 2015","Net Investment March 16-31, 2015","Net Investment March 16-31, 2015","Net Investment April 01-15, 2015","Net Investment April 01-15, 2015","Net Investment April 01-15, 2015","Net Investment April 01-15, 2015","Net Investment April 01-15, 2015","Net Investment April 01-15, 2015","AUC as on April 15, 2015","AUC as on April 15, 2015","AUC as on April 15, 2015","AUC as on April 15, 2015","AUC as on April 15, 2015","AUC as on April 15, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,113271,0,113271,18097,0,18097,-364,0,-364,-58,0,-58,-446,0,-446,-71,0,-71,114057,0,114057,18278,0,18278
2,Total Financial Services,416790,72695,489485,66590,11614,78204,851,953,1804,136,152,288,195,-125,70,31,-20,11,424495,72371,496866,68025,11597,79623
2a,Banks,173725,1577,175302,27756,252,28008,-165,194,28,-26,31,5,-55,65,10,-9,10,2,181313,1645,182958,29055,264,29319
2b,Other Financial Services1,243065,71118,314183,38834,11362,50196,1016,759,1775,162,121,284,250,-190,59,40,-31,10,243181,70726,313908,38970,11334,50304
3,Capital Goods,127000,837,127838,20291,134,20424,224,20,244,36,3,39,635,0,635,102,0,102,129084,837,129921,20686,134,20820
4,Chemicals & Petrochemicals,22454,268,22722,3587,43,3630,131,80,211,21,13,34,3,0,3,0,0,0,23235,268,23503,3723,43,3766
5,Coal,20901,0,20901,3339,0,3339,139,0,139,22,0,22,58,0,58,9,0,9,22274,0,22274,3569,0,3569
6,Commercial Services & Supplies,16634,200,16834,2658,32,2690,247,-70,177,39,-11,28,7,0,7,1,0,1,17160,200,17360,2750,32,2782
7,Construction Materials,41597,1235,42832,6646,197,6843,-201,10,-191,-32,2,-31,-43,0,-43,-7,0,-7,43000,1235,44235,6891,198,7089
8,Consumer Durables,4362,0,4362,697,0,697,-18,40,22,-3,6,4,6,0,6,1,0,1,4484,0,4484,719,0,719
9,Diversified2,4479,0,4479,716,0,716,28,10,38,4,2,6,20,0,20,3,0,3,4832,0,4832,774,0,774
10,Diversified Consumer Services,589,0,589,94,0,94,16,0,16,3,0,3,12,0,12,2,0,2,595,0,595,95,0,95
11,"Food, Beverages & Tobacco",95161,0,95161,15204,0,15204,-200,90,-110,-32,14,-18,214,0,214,34,0,34,102623,0,102623,16445,0,16445
12,Forest Materials,1000,0,1000,160,0,160,22,10,32,4,2,5,6,0,6,1,0,1,1083,0,1083,174,0,174
13,General Industrials,15930,385,16315,2545,62,2607,293,40,333,47,6,53,114,0,114,18,0,18,16681,385,17066,2673,62,2735
14,Hardware Technology & Equipment,60,0,60,10,0,10,-1,20,19,0,3,3,0,0,0,0,0,0,65,0,65,10,0,10
15,Healthcare Equipment & Supplies,72,0,72,12,0,12,0,10,10,0,2,2,0,0,0,0,0,0,87,0,87,14,0,14
16,Healthcare Services,8764,125,8889,1400,20,1420,43,10,53,7,2,9,11,0,11,2,0,2,8923,125,9048,1430,20,1450
17,"Hotels, Restaurants & Tourism",9015,0,9015,1440,0,1440,50,10,60,8,2,10,3,0,3,1,0,1,9282,0,9282,1487,0,1487
18,Household & Personal Products,69170,130,69301,11051,21,11072,-114,-52,-166,-18,-8,-27,164,0,164,26,0,26,74392,130,74522,11921,21,11942
19,Media,26111,764,26875,4172,122,4294,-27,-7,-34,-4,-1,-5,164,-9,154,26,-1,25,26158,755,26913,4192,121,4313
20,Metals & Mining,38281,1131,39412,6116,181,6297,79,-50,29,13,-8,5,-50,86,36,-8,14,6,40493,1216,41709,6489,195,6684
21,Oil & Gas,94557,1469,96026,15107,235,15342,0,10,10,0,2,2,561,-25,536,90,-4,86,102224,1445,103668,16381,232,16613
22,Pharmaceuticals & Biotechnology,170518,0,170518,27243,0,27243,1168,5,1173,187,1,187,729,0,729,117,0,117,178913,0,178913,28671,0,28671
23,Realty,18644,325,18969,2979,52,3031,106,20,126,17,3,20,-12,0,-12,-2,0,-2,19805,325,20130,3174,52,3226
24,Retailing,6328,0,6328,1011,0,1011,97,0,97,15,0,15,-36,0,-36,-6,0,-6,6409,0,6409,1027,0,1027
25,Software & Services,274173,0,274173,43804,0,43804,-931,0,-931,-149,0,-149,35,0,35,6,0,6,275543,0,275543,44156,0,44156
26,Telecom Services,49035,3383,52418,7834,541,8375,943,-123,820,151,-20,131,421,133,554,67,21,89,53189,3215,56404,8524,515,9039
27,Telecommunications Equipment,172,0,172,28,0,28,16,0,16,3,0,3,0,0,0,0,0,0,194,0,194,31,0,31
28,"Textiles, Apparels & Accessories",27300,0,27300,4362,0,4362,-64,110,46,-10,18,7,-43,0,-43,-7,0,-7,28523,0,28523,4571,0,4571
29,Transportation,33119,2,33121,5291,0,5292,572,7,579,91,1,93,-20,0,-20,-3,0,-3,34109,2,34111,5466,0,5466
29 a,Airlines,347,0,347,55,0,55,54,0,54,9,0,9,31,0,31,5,0,5,367,0,367,59,0,59
29 b,Logistics,3500,2,3502,559,0,560,6,0,6,1,0,1,-38,0,-38,-6,0,-6,3328,2,3330,533,0,534
29 c,Marine Port & Services,16818,0,16818,2687,0,2687,63,0,63,10,0,10,11,0,11,2,0,2,17426,0,17426,2792,0,2792
29 d,Roads & Highways,2807,0,2807,448,0,448,243,-3,241,39,0,38,24,0,24,4,0,4,2941,0,2941,471,0,471
29 e,Shipping,1337,0,1337,214,0,214,0,10,10,0,2,2,7,0,7,1,0,1,1268,0,1268,203,0,203
29 f,Surface Transportation,49,0,49,8,0,8,1,0,1,0,0,0,1,0,1,0,0,0,55,0,55,9,0,9
29 g,Transport Related Services,8260,0,8260,1320,0,1320,205,0,205,33,0,33,-56,0,-56,-9,0,-9,8724,0,8724,1398,0,1398
30,Utilities3,66820,6768,73588,10676,1081,11757,-166,39,-127,-27,6,-20,145,-145,-1,23,-23,0,69786,6503,76289,11183,1042,12225
31,Sovereign,0,154868,154868,0,24743,24743,0,553,553,0,88,88,0,220,220,0,35,35,0,155169,155169,0,24866,24866
32,Others4,305580,89391,394971,48822,14282,63104,0,3183,3183,0,509,509,453,279,731,73,45,117,313288,94588,407876,50204,15158,65362
,Grand Total,2077886,333977,2411864,331980,53359,385338,2939,4928,7867,470,787,1257,3306,414,3719,530,66,596,2144986,338771,2483757,343733,54288,398021
