0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on August 15, 2015","AUC as on August 15, 2015","AUC as on August 15, 2015","AUC as on August 15, 2015","AUC as on August 15, 2015","AUC as on August 15, 2015","Net Investment August 01-15, 2015","Net Investment August 01-15, 2015","Net Investment August 01-15, 2015","Net Investment August 01-15, 2015","Net Investment August 01-15, 2015","Net Investment August 01-15, 2015","Net Investment August 16-31, 2015","Net Investment August 16-31, 2015","Net Investment August 16-31, 2015","Net Investment August 16-31, 2015","Net Investment August 16-31, 2015","Net Investment August 16-31, 2015","AUC as on August 31, 2015","AUC as on August 31, 2015","AUC as on August 31, 2015","AUC as on August 31, 2015","AUC as on August 31, 2015","AUC as on August 31, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,125297,0,125297,19240,0,19240,97,0,97,15,0,15,-1546,0,-1546,-233,0,-233,111460,0,111460,16810,0,16810
2,Total Financial Services,422017,59231,481248,64804,9095,73899,245,-1002,-757,38,-154,-116,-2467,19,-2448,-372,3,-369,387354,59566,446920,58419,8984,67403
2a,Banks,185001,2122,187124,28408,326,28734,198,325,523,30,50,80,-1035,0,-1035,-156,0,-156,169619,2118,171737,25581,319,25901
2b,Other Financial Services1,237016,57109,294125,36395,8769,45165,47,-1327,-1280,7,-204,-197,-1432,19,-1414,-216,3,-213,217735,57448,275184,32838,8664,41502
3,Capital Goods,120645,867,121512,18526,133,18659,-204,0,-204,-31,0,-31,-1220,0,-1220,-184,0,-184,110140,867,111008,16611,131,16742
4,Chemicals & Petrochemicals,25440,0,25440,3906,0,3906,157,0,157,24,0,24,-49,0,-49,-7,0,-7,23710,0,23710,3576,0,3576
5,Coal,22472,0,22472,3451,0,3451,-114,0,-114,-17,0,-17,-9,0,-9,-1,0,-1,21787,0,21787,3286,0,3286
6,Commercial Services & Supplies,4961,200,5161,762,31,792,-39,0,-39,-6,0,-6,-110,0,-110,-17,0,-17,4378,200,4578,660,30,690
7,Construction Materials,40985,1230,42215,6293,189,6482,-163,0,-163,-25,0,-25,-743,-200,-943,-112,-30,-142,37904,1030,38934,5716,155,5872
8,Consumer Durables,4441,0,4441,682,0,682,36,0,36,6,0,6,-40,0,-40,-6,0,-6,4226,0,4226,637,0,637
9,Diversified2,5782,0,5782,888,0,888,5,0,5,1,0,1,31,0,31,5,0,5,5417,0,5417,817,0,817
10,Diversified Consumer Services,666,0,666,102,0,102,2,0,2,0,0,0,1,0,1,0,0,0,659,0,659,99,0,99
