0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on June 30, 2015","AUC as on June 30, 2015","AUC as on June 30, 2015","AUC as on June 30, 2015","AUC as on June 30, 2015","AUC as on June 30, 2015","Net Investment June 16-30, 2015","Net Investment June 16-30, 2015","Net Investment June 16-30, 2015","Net Investment June 16-30, 2015","Net Investment June 16-30, 2015","Net Investment June 16-30, 2015","Net Investment July 01-15, 2015","Net Investment July 01-15, 2015","Net Investment July 01-15, 2015","Net Investment July 01-15, 2015","Net Investment July 01-15, 2015","Net Investment July 01-15, 2015","AUC as on July 15, 2015","AUC as on July 15, 2015","AUC as on July 15, 2015","AUC as on July 15, 2015","AUC as on July 15, 2015","AUC as on July 15, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,116661,0,116661,18298,0,18298,-93,0,-93,-15,0,-15,89,0,89,14,0,14,121168,0,121168,19116,0,19116
2,Total Financial Services,412938,61355,474293,64770,9624,74393,114,-1109,-995,18,-174,-156,2385,-512,1873,376,-81,295,373007,60547,433554,58848,9552,68400
2a,Banks,177926,1879,179805,27908,295,28203,-235,20,-215,-37,3,-34,2350,0,2350,371,0,371,162484,1877,164362,25635,296,25931
2b,Other Financial Services1,235012,59477,294489,36862,9329,46191,349,-1129,-780,55,-177,-122,35,-512,-477,5,-81,-75,210523,58670,269193,33213,9256,42470
3,Capital Goods,121387,867,122254,19040,136,19176,-272,-50,-322,-43,-8,-50,134,0,134,21,0,21,143864,867,144732,22697,137,22834
4,Chemicals & Petrochemicals,24576,168,24744,3855,26,3881,22,0,22,3,0,3,-215,-168,-383,-34,-26,-60,29662,0,29662,4680,0,4680
5,Coal,24556,0,24556,3852,0,3852,221,0,221,35,0,35,360,0,360,57,0,57,19634,0,19634,3098,0,3098
6,Commercial Services & Supplies,4629,200,4829,726,31,757,-14,0,-14,-2,0,-2,85,0,85,13,0,13,7894,200,8094,1245,32,1277
7,Construction Materials,40954,1230,42184,6424,193,6617,-149,0,-149,-23,0,-23,364,0,364,57,0,57,53937,1230,55167,8509,194,8703
8,Consumer Durables,4420,0,4420,693,0,693,33,0,33,5,0,5,-35,0,-35,-6,0,-6,5188,0,5188,819,0,819
9,Diversified2,4561,0,4561,715,0,715,-82,0,-82,-13,0,-13,24,0,24,4,0,4,4941,0,4941,780,0,780
10,Diversified Consumer Services,690,0,690,108,0,108,-3,0,-3,0,0,0,11,0,11,2,0,2,875,0,875,138,0,138
11,"Food, Beverages & Tobacco",91900,0,91900,14415,0,14415,-366,0,-366,-57,0,-57,100,0,100,16,0,16,98140,0,98140,15483,0,15483
12,Forest Materials,917,0,917,144,0,144,12,0,12,2,0,2,-13,0,-13,-2,0,-2,1621,0,1621,256,0,256
13,General Industrials,15416,385,15801,2418,60,2478,93,0,93,15,0,15,-97,0,-97,-15,0,-15,18514,385,18899,2921,61,2982
14,Hardware Technology & Equipment,37,0,37,6,0,6,0,0,0,0,0,0,2,0,2,0,0,0,58,0,58,9,0,9
15,Healthcare Equipment & Supplies,80,0,80,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111,17,0,17
16,Healthcare Services,8572,125,8697,1345,20,1364,50,0,50,8,0,8,46,-125,-79,7,-20,-13,8002,0,8002,1262,0,1262
17,"Hotels, Restaurants & Tourism",9040,0,9040,1418,0,1418,-7,0,-7,-1,0,-1,-41,0,-41,-6,0,-6,10197,0,10197,1609,0,1609
18,Household & Personal Products,74554,130,74684,11694,20,11714,142,0,142,22,0,22,114,0,114,18,0,18,83325,130,83455,13146,21,13166
19,Media,26585,686,27271,4170,108,4277,422,-16,406,66,-2,64,119,5,124,19,1,20,22809,697,23506,3599,110,3709
20,Metals & Mining,31951,1588,33539,5012,249,5261,-491,31,-461,-77,5,-72,-548,-36,-584,-86,-6,-92,37187,1553,38740,5867,245,6112
21,Oil & Gas,107275,892,108167,16826,140,16966,331,0,331,52,0,52,678,0,678,107,0,107,101867,892,102760,16071,141,16212
22,Pharmaceuticals & Biotechnology,178878,0,178878,28057,0,28057,-171,0,-171,-27,0,-27,656,0,656,103,0,103,196383,0,196383,30983,0,30983
23,Realty,15723,263,15985,2466,41,2507,-90,0,-90,-14,0,-14,-106,0,-106,-17,0,-17,16641,263,16903,2625,41,2667
24,Retailing,6188,0,6188,971,0,971,8,0,8,1,0,1,-3,0,-3,-1,0,-1,13819,0,13819,2180,0,2180
25,Software & Services,250144,0,250144,39235,0,39235,-1215,0,-1215,-191,0,-191,-632,0,-632,-100,0,-100,222372,0,222372,35083,0,35083
26,Telecom Services,52460,3766,56226,8228,591,8819,335,25,361,53,4,57,215,-20,195,34,-3,31,50830,3742,54572,8019,590,8610
27,Telecommunications Equipment,208,0,208,33,0,33,2,0,2,0,0,0,-28,0,-28,-4,0,-4,203,0,203,32,0,32
28,"Textiles, Apparels & Accessories",28133,0,28133,4413,0,4413,47,0,47,7,0,7,57,0,57,9,0,9,33385,0,33385,5267,0,5267
29,Transportation,41808,15,41823,6558,2,6560,40,0,40,6,0,6,356,3,360,56,1,57,51393,18,51412,8108,3,8111
29 a,Airlines,174,0,174,27,0,27,-15,0,-15,-2,0,-2,29,0,29,5,0,5,278,0,278,44,0,44
29 b,Logistics,2794,1,2795,438,0,438,2,0,2,0,0,0,50,0,50,8,0,8,4185,1,4186,660,0,660
29 c,Marine Port & Services,25089,0,25089,3935,0,3935,13,0,13,2,0,2,224,0,224,35,0,35,27606,0,27606,4355,0,4355
29 d,Roads & Highways,2638,14,2652,414,2,416,18,0,18,3,0,3,-10,3,-7,-2,1,-1,3175,17,3192,501,3,504
29 e,Shipping,1265,0,1265,198,0,198,4,0,4,1,0,1,1,0,1,0,0,0,2372,0,2372,374,0,374
29 f,Surface Transportation,51,0,51,8,0,8,1,0,1,0,0,0,0,0,0,0,0,0,56,0,56,9,0,9
29 g,Transport Related Services,9798,0,9798,1537,0,1537,19,0,19,3,0,3,62,0,62,10,0,10,13721,0,13721,2165,0,2165
30,Utilities3,62392,5956,68348,9786,934,10720,-276,38,-238,-43,6,-37,-149,-13,-161,-23,-2,-25,69109,5944,75053,10903,938,11841
31,Sovereign,0,152675,152675,0,23947,23947,0,2412,2412,0,378,378,0,2375,2375,0,375,375,0,155509,155509,0,24534,24534
32,Others4,293976,104569,398546,46110,16402,62512,-1211,7108,5897,-190,1115,925,-242,-487,-730,-38,-77,-115,307029,105074,412103,48439,16577,65016
,Grand Total,2051608,334872,2386479,321796,52525,374321,-2568,8439,5871,-403,1324,921,3687,1023,4710,582,161,743,2103165,337053,2440217,331809,53176,384985
