0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC  as on June 15, 2014","AUC  as on June 15, 2014","AUC  as on June 15, 2014","AUC  as on June 15, 2014","AUC  as on June 15, 2014","AUC  as on June 15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 1-15, 2014","Net  Investment June 16-30, 2014","Net  Investment June 16-30, 2014","Net  Investment June 16-30, 2014","Net  Investment June 16-30, 2014","Net  Investment June 16-30, 2014","Net  Investment June 16-30, 2014","AUC  as on June 30, 2014","AUC  as on June 30, 2014","AUC  as on June 30, 2014","AUC  as on June 30, 2014","AUC  as on June 30, 2014","AUC  as on June 30, 2014"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,92843,0,92843,15610,0,15610,111,-16,95,19,-3,16,1198,0,1198,199,0,199,94185,0,94185,15673,0,15673
2,Total Financial Services,460107,37734,497841,77357,6344,83701,3514,1267,4781,591,213,804,-26,273,247,-4,45,41,466758,38070,504828,77672,6335,84007
2a,Banks,279461,89,279550,46985,15,47000,2993,109,3102,503,18,521,-539,0,-539,-90,0,-90,282159,89,282248,46953,15,46968
2b,Other Financial Services1,180646,37645,218292,30372,6329,36701,521,1158,1678,88,195,283,513,273,787,85,45,131,184599,37981,222580,30719,6320,37039
3,Capital Goods,111305,51,111356,18713,9,18722,573,-233,340,96,-39,57,-136,0,-136,-23,0,-23,113043,51,113094,18811,9,18820
4,Chemicals & Petrochemicals,15151,0,15151,2547,0,2547,1,1,2,0,0,0,127,0,127,21,0,21,16833,0,16833,2801,0,2801
5,Coal,14154,0,14154,2380,0,2380,141,-25,115,24,-4,20,-138,0,-138,-23,0,-23,13928,0,13928,2318,0,2318
6,Commercial Services & Supplies,13661,0,13661,2297,0,2297,44,-1,43,7,0,7,-72,0,-72,-12,0,-12,13524,0,13524,2250,0,2250
7,Construction Materials,38583,370,38953,6487,62,6549,297,26,323,50,4,54,-183,0,-183,-31,0,-31,37472,370,37842,6236,62,6297
8,Consumer Durables,5778,0,5778,971,0,971,13,-24,-11,2,-4,-2,6,0,6,1,0,1,5910,0,5910,983,0,983
9,Diversified2,3576,0,3576,601,0,601,51,3,53,9,0,9,-10,0,-10,-2,0,-2,3549,0,3549,591,0,591
10,Diversified Consumer Services,279,0,279,47,0,47,3,0,3,1,0,1,-2,0,-2,0,0,0,278,0,278,46,0,46
