0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","Net Investment May 01-15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020","AUC as on May 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,107705,317,0,0,108022,14339,42,0,0,14381,-1418,0,0,0,-1418,-189,0,0,0,-189,-267,0,0,0,-267,-35,0,0,0,-35,105136,317,0,0,105453,13914,42,0,0,13956
2,Total Financial Services,804814,34533,7157,0,846504,107144,4597,953,0,112694,-723,-1615,25,0,-2313,-96,-215,3,0,-308,-2493,-361,211,0,-2643,-330,-48,28,0,-350,702716,33235,7349,0,743300,92997,4398,972,0,98367
2a,Banks,465367,7788,0,0,473155,61954,1037,0,0,62991,-216,-195,0,0,-411,-29,-26,0,0,-55,-1134,-24,0,0,-1158,-150,-3,0,0,-153,406046,7731,0,0,413777,53736,1023,0,0,54759
2b,Other Financial Services1,339448,26746,7157,0,373351,45190,3561,953,0,49704,-507,-1420,25,0,-1902,-68,-189,3,0,-254,-1360,-338,211,0,-1487,-180,-45,28,0,-197,296670,25504,7349,0,329523,39261,3375,972,0,43608
3,Capital Goods,64930,428,0,0,65358,8644,57,0,0,8701,154,-35,0,0,119,21,-5,0,0,16,-144,0,0,0,-144,-19,0,0,0,-19,62313,428,0,0,62741,8246,57,0,0,8303
4,Chemicals & Petrochemicals,36390,0,310,0,36700,4845,0,41,0,4886,-242,0,0,0,-242,-32,0,0,0,-32,-299,0,0,0,-299,-40,0,0,0,-40,33465,0,310,0,33775,4429,0,41,0,4470
5,Coal,7347,0,0,0,7347,978,0,0,0,978,-119,0,0,0,-119,-16,0,0,0,-16,28,0,0,0,28,4,0,0,0,4,6437,0,0,0,6437,852,0,0,0,852
6,Commercial Services & Supplies,5505,0,0,0,5505,733,0,0,0,733,-121,0,0,0,-121,-16,0,0,0,-16,9,0,0,0,9,1,0,0,0,1,5660,0,0,0,5660,749,0,0,0,749
7,Construction Materials,41484,409,10,0,41903,5523,54,1,0,5578,-535,0,0,0,-535,-71,0,0,0,-71,-162,0,0,0,-162,-21,0,0,0,-21,41633,409,10,0,42052,5510,54,1,0,5565
8,Consumer Durables,48798,0,0,0,48798,6496,0,0,0,6496,334,0,0,0,334,45,0,0,0,45,-108,0,0,0,-108,-14,0,0,0,-14,43633,0,0,0,43633,5774,0,0,0,5774
9,Diversified2,5552,0,0,0,5552,739,0,0,0,739,-112,0,0,0,-112,-15,0,0,0,-15,10,0,0,0,10,1,0,0,0,1,5253,0,0,0,5253,695,0,0,0,695
10,Diversified Consumer Services,1920,0,0,0,1920,256,0,0,0,256,-18,0,0,0,-18,-2,0,0,0,-2,-4,0,0,0,-4,-1,0,0,0,-1,1743,0,0,0,1743,231,0,0,0,231
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",91587,285,0,0,91872,12193,38,0,0,12231,-143,-372,0,0,-515,-19,-50,0,0,-69,-29,0,0,0,-29,-4,0,0,0,-4,86185,286,0,0,86471,11406,38,0,0,11444
13,Forest Materials,659,434,0,0,1093,88,58,0,0,146,-9,0,0,0,-9,-1,0,0,0,-1,-15,0,0,0,-15,-2,0,0,0,-2,589,434,0,0,1023,78,57,0,0,135
14,General Industrials,11062,0,0,0,11062,1473,0,0,0,1473,49,0,0,0,49,7,0,0,0,7,32,0,0,0,32,4,0,0,0,4,10027,0,0,0,10027,1327,0,0,0,1327
15,Hardware Technology & Equipment,40,0,0,0,40,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,38,5,0,0,0,5
16,Healthcare Equipment & Supplies,54,0,0,0,54,7,0,0,0,7,-3,0,0,0,-3,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,64,0,0,0,64,8,0,0,0,8
17,Healthcare Services,18877,0,0,0,18877,2513,0,0,0,2513,374,0,0,0,374,50,0,0,0,50,26,0,0,0,26,3,0,0,0,3,18357,0,0,0,18357,2429,0,0,0,2429
18,"Hotels, Restaurants & Tourism",9812,104,0,0,9916,1306,14,0,0,1320,171,0,0,0,171,23,0,0,0,23,74,0,0,0,74,10,0,0,0,10,9815,104,0,0,9919,1299,14,0,0,1313
19,Household & Personal Products,110506,0,0,0,110506,14712,0,0,0,14712,1287,0,0,0,1287,171,0,0,0,171,16253,0,0,0,16253,2151,0,0,0,2151,122545,0,0,0,122545,16217,0,0,0,16217
20,Insurance,65313,0,0,0,65313,8695,0,0,0,8695,-326,0,0,0,-326,-43,0,0,0,-43,-144,0,0,0,-144,-19,0,0,0,-19,64015,0,0,0,64015,8472,0,0,0,8472
21,Media,15893,114,0,0,16007,2116,15,0,0,2131,94,-2,0,0,92,13,0,0,0,13,-56,0,0,0,-56,-7,0,0,0,-7,16037,113,0,0,16150,2122,15,0,0,2137
22,Metals & Mining,26959,559,0,0,27518,3589,74,0,0,3663,-305,0,0,0,-305,-41,0,0,0,-41,-103,-129,0,0,-232,-14,-17,0,0,-31,25830,434,0,0,26264,3418,57,0,0,3475
23,Oil & Gas,267661,3557,495,0,271713,35633,473,66,0,36172,860,-6,0,0,854,114,-1,0,0,113,5501,26,0,0,5527,728,3,0,0,731,267870,3585,495,0,271950,35450,474,66,0,35990
24,Pharmaceuticals & Biotechnology,112611,0,2145,0,114756,14992,0,286,0,15278,-955,0,0,0,-955,-127,0,0,0,-127,380,0,-6,0,374,50,0,-1,0,49,110824,0,2140,0,112964,14666,0,283,0,14949
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,20337,560,600,0,21497,2707,75,80,0,2862,-132,0,0,0,-132,-18,0,0,0,-18,-30,0,0,0,-30,-4,0,0,0,-4,18849,560,600,0,20009,2494,74,79,0,2647
