0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","AUC as on January 31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment January 16-31, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","Net Investment February 01-15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018","AUC as on February 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,197567,347,0,197914,31021,55,0,31076,539,0,0,539,85,0,0,85,-155,0,0,-155,-24,0,0,-24,189445,347,0,189793,29637,54,0,29691
2,Total Financial Services,661157,58568,0,719725,103812,9196,0,113008,2331,273,0,2604,366,43,0,409,76,378,0,454,12,59,0,71,625563,58912,0,684475,97863,9216,0,107079
2a,Banks,317191,5956,0,323148,49804,935,0,50739,867,168,0,1035,136,26,0,163,644,30,0,674,101,5,0,106,299427,5985,0,305413,46842,936,0,47779
2b,Other Financial Services1,343966,52612,0,396577,54008,8261,0,62269,1464,105,0,1569,230,16,0,246,-569,348,0,-220,-89,54,0,-34,326136,52926,0,379062,51021,8280,0,59301
3,Capital Goods,134955,953,0,135909,21190,150,0,21340,737,0,0,737,116,0,0,116,-57,0,0,-57,-9,0,0,-9,132075,953,0,133028,20662,149,0,20811
4,Chemicals & Petrochemicals,35985,0,0,35985,5650,0,0,5650,257,0,0,257,40,0,0,40,-117,0,0,-117,-18,0,0,-18,34528,0,0,34528,5402,0,0,5402
5,Coal,10889,0,0,10889,1710,0,0,1710,148,0,0,148,23,0,0,23,-249,0,0,-249,-39,0,0,-39,10934,0,0,10934,1711,0,0,1711
6,Commercial Services & Supplies,10859,200,0,11059,1705,31,0,1736,352,0,0,352,55,0,0,55,78,0,0,78,12,0,0,12,10708,200,0,10908,1675,31,0,1706
7,Construction Materials,60274,799,0,61072,9464,125,0,9589,346,25,0,371,54,4,0,58,-171,0,0,-171,-27,0,0,-27,57877,799,0,58675,9054,125,0,9179
8,Consumer Durables,4414,0,0,4414,693,0,0,693,-19,0,0,-19,-3,0,0,-3,-50,0,0,-50,-8,0,0,-8,4288,0,0,4288,671,0,0,671
9,Diversified2,2572,0,0,2572,404,0,0,404,51,0,0,51,8,0,0,8,36,0,0,36,6,0,0,6,2756,0,0,2756,431,0,0,431
10,Diversified Consumer Services,251,0,0,251,39,0,0,39,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,253,40,0,0,40
11,"Food, Beverages & Tobacco",106613,463,0,107076,16740,73,0,16813,-129,0,0,-129,-20,0,0,-20,-319,0,0,-319,-50,0,0,-50,104963,463,0,105425,16420,72,0,16493
12,Forest Materials,1790,0,0,1790,281,0,0,281,48,0,0,48,7,0,0,7,20,0,0,20,3,0,0,3,1777,0,0,1777,278,0,0,278
13,General Industrials,22349,385,0,22734,3509,60,0,3570,93,0,0,93,15,0,0,15,63,0,0,63,10,0,0,10,21963,385,0,22348,3436,60,0,3496
14,Hardware Technology & Equipment,45,0,0,45,7,0,0,7,1,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,53,0,0,53,8,0,0,8
15,Healthcare Equipment & Supplies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,Healthcare Services,9975,0,0,9975,1566,0,0,1566,-93,0,0,-93,-15,0,0,-15,94,0,0,94,15,0,0,15,10415,0,0,10415,1629,0,0,1629
