0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC  as on February 15, 2013","AUC  as on February 15, 2013","AUC  as on February 15, 2013","AUC  as on February 15, 2013","AUC  as on February 15, 2013","AUC  as on February 15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 1-15, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,58749,0,58749,10882,0,10882,477,0,477,88,0,88,167,0,167,31,0,31,57174,0,57174,10632,0,10632
2,Total Financial Services,361414,37134,398548,66943,6878,73821,2881,696,3578,534,129,663,1638,1289,2926,305,240,544,336755,0,336755,62625,0,62625
2a,Banks,214512,75,214587,39733,14,39747,1818,-10,1808,337,-2,335,654,54,708,122,10,132,201118,128,201246,37401,24,37425
2b,Other Financial Services1,146903,37059,183961,27210,6864,34074,1063,706,1769,197,131,328,983,1235,2218,183,230,412,135638,38556,174194,25224,7170,32394
3,Capital Goods,68147,373,68520,12622,69,12692,257,0,257,48,0,48,-372,88,-284,-69,16,-53,64395,443,64838,11975,82,12058
4,Chemicals & Petrochemicals,8601,4,8605,1593,1,1594,73,0,73,14,0,14,-41,0,-41,-8,0,-8,8087,4,8091,1504,1,1505
5,Coal,12938,0,12938,2396,0,2396,-63,0,-63,-12,0,-12,-226,0,-226,-42,0,-42,11336,0,11336,2108,0,2108
