0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","AUC as on February 15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 01-15, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,439037,133,11,0,439181,52888,16,1,0,52905,2539,0,0,0,2539,306,0,0,0,306,3003,0,0,0,3003,362,0,0,0,362,451765,133,11,0,451909,54479,16,1,0,54496
2,Capital Goods,278904,843,0,0,279747,33598,102,0,0,33700,921,0,0,0,921,111,0,0,0,111,2985,0,0,0,2985,360,0,0,0,360,292549,814,29,0,293392,35279,98,4,0,35381
3,Chemicals,95487,0,615,0,96102,11503,0,74,0,11577,-790,0,0,0,-790,-95,0,0,0,-95,-1,0,0,0,-1,0,0,0,0,0,95726,0,615,0,96341,11544,0,74,0,11618
4,Construction,130403,407,2178,0,132988,15709,49,262,0,16020,-4251,0,0,0,-4251,-512,0,0,0,-512,-243,0,0,0,-243,-29,0,0,0,-29,136492,407,2178,0,139077,16460,49,263,0,16772
5,Construction Materials,113814,896,556,0,115266,13711,108,67,0,13886,-34,0,0,0,-34,-4,0,0,0,-4,221,0,0,0,221,27,0,0,0,27,116166,33,60,0,116259,14009,4,7,0,14020
6,Consumer Durables,195524,0,0,0,195524,23554,0,0,0,23554,180,0,0,0,180,22,0,0,0,22,931,0,0,0,931,112,0,0,0,112,196896,0,0,0,196896,23744,0,0,0,23744
7,Consumer Services,207279,1109,670,0,209058,24970,134,81,0,25185,3041,0,0,0,3041,366,0,0,0,366,4497,0,0,0,4497,542,0,0,0,542,218267,1109,1086,0,220462,26321,134,131,0,26586
