0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 01-15, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","Net Investment February 16-29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020","AUC as on February 29, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,148236,317,0,148553,20765,44,0,20809,-274,0,0,-274,-38,0,0,-38,-1852,0,0,-1852,-257,0,0,-257,131467,317,0,131784,18211,44,0,18255
2,Total Financial Services,1168356,41827,0,1210183,163666,5859,0,169525,400,585,0,985,56,82,0,138,-1968,331,0,-1637,-273,46,0,-227,1089379,42406,0,1131785,150905,5874,0,156779
2a,Banks,674606,8385,0,682991,94500,1175,0,95675,-87,275,0,188,-12,38,0,26,-1404,106,0,-1298,-194,15,0,-179,638225,8475,0,646700,88410,1174,0,89584
2b,Other Financial Services1,493751,33442,0,527193,69166,4685,0,73851,487,310,0,797,68,43,0,111,-564,225,0,-339,-78,31,0,-47,451154,33931,0,485085,62496,4700,0,67196
3,Capital Goods,93276,483,0,93759,13066,68,0,13134,-856,0,0,-856,-120,0,0,-120,-892,-20,0,-912,-124,-3,0,-127,82518,463,0,82981,11431,64,0,11495
4,Chemicals & Petrochemicals,45662,0,0,45662,6396,0,0,6396,-109,0,0,-109,-15,0,0,-15,43,0,0,43,6,0,0,6,42379,0,0,42379,5871,0,0,5871
5,Coal,8927,0,0,8927,1250,0,0,1250,-283,0,0,-283,-40,0,0,-40,73,0,0,73,10,0,0,10,8662,0,0,8662,1200,0,0,1200
6,Commercial Services & Supplies,9904,0,0,9904,1387,0,0,1387,13,0,0,13,2,0,0,2,-43,0,0,-43,-6,0,0,-6,8591,0,0,8591,1190,0,0,1190
7,Construction Materials,58873,419,0,59292,8247,59,0,8306,-490,0,0,-490,-69,0,0,-69,-419,-10,0,-429,-58,-1,0,-59,55591,409,0,56000,7701,57,0,7758
8,Consumer Durables,55080,0,0,55080,7716,0,0,7716,-122,0,0,-122,-17,0,0,-17,-129,0,0,-129,-18,0,0,-18,53024,0,0,53024,7345,0,0,7345
9,Diversified2,7466,0,0,7466,1046,0,0,1046,94,0,0,94,13,0,0,13,-38,0,0,-38,-5,0,0,-5,6818,0,0,6818,944,0,0,944
10,Diversified Consumer Services,2803,0,0,2803,393,0,0,393,22,0,0,22,3,0,0,3,-34,0,0,-34,-5,0,0,-5,2721,0,0,2721,377,0,0,377
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",106534,677,0,107211,14924,95,0,15019,-824,-16,0,-840,-115,-2,0,-117,-993,-3,0,-996,-138,0,0,-138,100171,674,0,100845,13876,93,0,13969
13,Forest Materials,942,434,0,1376,132,61,0,193,2,0,0,2,0,0,0,0,-7,0,0,-7,-1,0,0,-1,863,434,0,1297,119,60,0,179
14,General Industrials,15851,0,0,15851,2221,0,0,2221,30,0,0,30,4,0,0,4,18,0,0,18,2,0,0,2,14578,0,0,14578,2019,0,0,2019
15,Hardware Technology & Equipment,59,0,0,59,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,56,8,0,0,8
16,Healthcare Equipment & Supplies,90,0,0,90,13,0,0,13,-2,0,0,-2,0,0,0,0,-9,0,0,-9,-1,0,0,-1,83,0,0,83,11,0,0,11
17,Healthcare Services,23086,0,0,23086,3234,0,0,3234,-177,0,0,-177,-25,0,0,-25,-145,0,0,-145,-20,0,0,-20,22894,0,0,22894,3171,0,0,3171
18,"Hotels, Restaurants & Tourism",13924,104,0,14028,1950,14,0,1964,-316,0,0,-316,-44,0,0,-44,41,0,0,41,6,0,0,6,13615,104,0,13719,1886,14,0,1900
19,Household & Personal Products,112792,0,0,112792,15800,0,0,15800,-889,0,0,-889,-124,0,0,-124,-232,0,0,-232,-32,0,0,-32,107712,0,0,107712,14921,0,0,14921
20,Insurance,75287,0,0,75287,10546,0,0,10546,238,0,0,238,33,0,0,33,-52,0,0,-52,-7,0,0,-7,72516,0,0,72516,10045,0,0,10045
21,Media,22402,206,0,22608,3138,29,0,3167,-178,0,0,-178,-25,0,0,-25,186,0,0,186,26,0,0,26,22024,38,0,22062,3051,5,0,3056
22,Metals & Mining,44989,558,0,45547,6302,78,0,6380,-416,0,0,-416,-58,0,0,-58,0,0,0,0,0,0,0,0,37171,558,0,37729,5149,77,0,5226
23,Oil & Gas,293512,4363,0,297875,41116,611,0,41727,1699,-83,0,1616,238,-12,0,226,-368,-110,0,-478,-51,-15,0,-66,262866,4261,0,267127,36413,590,0,37003
24,Pharmaceuticals & Biotechnology,109991,1750,0,111741,15408,245,0,15653,133,0,0,133,19,0,0,19,-959,0,0,-959,-133,0,0,-133,100330,1750,0,102080,13898,242,0,14140
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,34051,766,0,34817,4770,107,0,4877,-56,0,0,-56,-8,0,0,-8,-229,0,0,-229,-32,0,0,-32,30581,1165,0,31746,4236,161,0,4397
27,Retailing,44171,150,0,44321,6188,21,0,6209,359,0,0,359,50,0,0,50,2000,0,0,2000,277,0,0,277,43172,150,0,43322,5980,21,0,6001
28,Software & Services,355821,0,0,355821,49844,0,0,49844,157,0,0,157,22,0,0,22,72,0,0,72,10,0,0,10,325215,0,0,325215,45050,0,0,45050
29,Telecom Services,87054,380,0,87434,12195,53,0,12248,596,0,0,596,84,0,0,84,155,0,0,155,21,0,0,21,80612,380,0,80992,11167,53,0,11220
30,Telecommunications Equipment,143,0,0,143,20,0,0,20,-5,0,0,-5,-1,0,0,-1,-1,0,0,-1,0,0,0,0,125,0,0,125,17,0,0,17
31,"Textiles, Apparels & Accessories",40673,0,0,40673,5698,0,0,5698,-204,0,0,-204,-29,0,0,-29,-88,0,0,-88,-12,0,0,-12,38925,0,0,38925,5392,0,0,5392
32,Transportation,39811,1399,0,41210,5577,196,0,5773,-137,0,0,-137,-19,0,0,-19,-127,0,0,-127,-18,0,0,-18,36051,699,0,36750,4994,97,0,5091
32 a,Airlines,8466,699,0,9165,1186,98,0,1284,-131,0,0,-131,-18,0,0,-18,-153,0,0,-153,-21,0,0,-21,7484,699,0,8183,1037,97,0,1134
32 b,Logistics,1715,0,0,1715,240,0,0,240,1,0,0,1,0,0,0,0,17,0,0,17,2,0,0,2,1636,0,0,1636,227,0,0,227
32 c,Marine Port & Services,14842,0,0,14842,2079,0,0,2079,116,0,0,116,16,0,0,16,29,0,0,29,4,0,0,4,13825,0,0,13825,1915,0,0,1915
32 d,Roads & Highways,1675,700,0,2375,235,98,0,333,-34,0,0,-34,-5,0,0,-5,-29,0,0,-29,-4,0,0,-4,1366,0,0,1366,189,0,0,189
32 e,Shipping,1118,0,0,1118,157,0,0,157,-4,0,0,-4,-1,0,0,-1,21,0,0,21,3,0,0,3,968,0,0,968,134,0,0,134
32 f,Surface Transportation,37,0,0,37,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,34,5,0,0,5
32 g,Transport Related Services,9235,0,0,9235,1294,0,0,1294,-74,0,0,-74,-10,0,0,-10,-40,0,0,-40,-6,0,0,-6,8356,0,0,8356,1158,0,0,1158
32 h,Airport Services,2722,0,0,2722,381,0,0,381,-12,0,0,-12,-2,0,0,-2,29,0,0,29,4,0,0,4,2383,0,0,2383,330,0,0,330
33,Utilities3,85190,3054,0,88244,11934,428,0,12362,144,-73,0,71,20,-10,0,10,299,70,0,369,41,10,0,51,78404,3127,0,81531,10861,433,0,11294
34,Sovereign,0,221290,0,221290,0,30999,0,30999,0,12210,0,12210,0,1710,0,1710,0,-8322,0,-8322,0,-1153,0,-1153,0,211432,0,211432,0,29288,0,29288
35,Others4,22400,148379,12856,183635,3138,20785,1801,25724,11876,40,8,11924,1664,6,1,1671,-2908,-2501,2409,-3000,-403,-346,334,-415,17819,146930,15187,179936,2468,20353,2104,24925
,Grand Total,3127357,426555,12856,3566768,438088,59753,1801,499642,10426,12663,8,23097,1460,1774,1,3235,-8606,-10566,2409,-16763,-1192,-1464,334,-2322,2886931,415296,15187,3317414,399910,57529,2104,459543
