0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,332454,19,11,0,332484,40522,2,1,0,40525,3050,0,0,0,3050,372,0,0,0,372,1629,-4,0,0,1625,198,0,0,0,198,343173,16,11,0,343200,41798,2,1,0,41801
2,Capital Goods,181174,380,0,0,181554,22083,46,0,0,22129,2366,0,0,0,2366,288,0,0,0,288,2422,-12,0,0,2410,295,-1,0,0,294,188798,368,0,0,189166,22996,45,0,0,23041
3,Chemicals,101059,0,0,0,101059,12318,0,0,0,12318,587,0,0,0,587,71,0,0,0,71,-207,0,0,0,-207,-25,0,0,0,-25,96932,0,0,0,96932,11806,0,0,0,11806
4,Construction,96781,521,2178,0,99480,11796,63,266,0,12125,1416,0,0,0,1416,173,0,0,0,173,647,0,0,0,647,79,0,0,0,79,97962,521,2178,0,100661,11932,63,265,0,12260
5,Construction Materials,92153,970,844,0,93967,11232,118,103,0,11453,782,0,0,0,782,95,0,0,0,95,661,0,0,0,661,80,0,0,0,80,91750,970,844,0,93564,11175,118,103,0,11396
6,Consumer Durables,179011,0,0,0,179011,21819,0,0,0,21819,1896,0,0,0,1896,231,0,0,0,231,2021,0,0,0,2021,246,0,0,0,246,182312,0,0,0,182312,22206,0,0,0,22206
7,Consumer Services,131039,359,545,0,131943,15972,44,66,0,16082,651,0,0,0,651,79,0,0,0,79,655,0,0,0,655,80,0,0,0,80,133362,359,545,0,134266,16243,44,66,0,16353
