0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","AUC as on June 15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 01-15, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","Net Investment June 16-30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023","AUC as on June 30, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,317930,19,11,0,317960,38678,2,1,0,38681,3079,0,0,0,3079,375,0,0,0,375,3050,0,0,0,3050,372,0,0,0,372,332454,19,11,0,332484,40522,2,1,0,40525
2,Capital Goods,175464,380,0,0,175844,21347,46,0,0,21393,3460,0,0,0,3460,421,0,0,0,421,2366,0,0,0,2366,288,0,0,0,288,181174,380,0,0,181554,22083,46,0,0,22129
3,Chemicals,100867,0,0,0,100867,12271,0,0,0,12271,-840,0,0,0,-840,-102,0,0,0,-102,587,0,0,0,587,71,0,0,0,71,101059,0,0,0,101059,12318,0,0,0,12318
4,Construction,91310,521,2178,0,94009,11109,63,265,0,11437,1572,-65,0,0,1507,191,-8,0,0,183,1416,0,0,0,1416,173,0,0,0,173,96781,521,2178,0,99480,11796,63,266,0,12125
5,Construction Materials,93925,970,844,0,95739,11427,118,103,0,11648,1069,0,0,0,1069,130,0,0,0,130,782,0,0,0,782,95,0,0,0,95,92153,970,844,0,93967,11232,118,103,0,11453
6,Consumer Durables,174646,0,0,0,174646,21247,0,0,0,21247,2193,0,0,0,2193,267,0,0,0,267,1896,0,0,0,1896,231,0,0,0,231,179011,0,0,0,179011,21819,0,0,0,21819
7,Consumer Services,129140,359,545,0,130044,15711,44,66,0,15821,1638,0,0,0,1638,199,0,0,0,199,651,0,0,0,651,79,0,0,0,79,131039,359,545,0,131943,15972,44,66,0,16082
8,Diversified,3420,191,0,0,3611,416,23,0,0,439,12,0,0,0,12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3452,191,0,0,3643,421,23,0,0,444
9,Fast Moving Consumer Goods,360501,156,128,0,360785,43858,19,16,0,43893,810,0,0,0,810,99,0,0,0,99,1406,0,0,0,1406,171,0,0,0,171,379879,156,128,0,380163,46303,19,16,0,46338
10,Financial Services,1643927,17098,7524,0,1668549,199995,2080,915,0,202990,5523,-131,139,0,5531,672,-16,17,0,673,13181,110,9,0,13300,1607,13,1,0,1621,1733987,16512,7737,0,1758236,211351,2013,943,0,214307
11,Forest Materials,1995,400,0,0,2395,243,49,0,0,292,-15,0,0,0,-15,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2042,400,0,0,2442,249,49,0,0,298
12,Healthcare,261029,406,0,0,261435,31756,49,0,0,31805,1233,0,0,0,1233,150,0,0,0,150,788,0,0,0,788,96,0,0,0,96,270487,406,0,0,270893,32969,49,0,0,33018
13,Information Technology,476913,0,340,0,477253,58020,0,41,0,58061,-3139,0,0,0,-3139,-382,0,0,0,-382,-438,0,45,0,-393,-53,0,5,0,-48,488869,0,385,0,489254,59587,0,47,0,59634
14,"Media, Entertainment & Publication",15982,0,135,0,16117,1944,0,16,0,1960,-220,0,0,0,-220,-27,0,0,0,-27,-79,0,0,0,-79,-10,0,0,0,-10,15651,0,135,0,15786,1908,0,16,0,1924
15,Metals & Mining,153785,16,1512,0,155313,18709,2,184,0,18895,-2243,0,0,0,-2243,-273,0,0,0,-273,3996,0,0,0,3996,487,0,0,0,487,156185,16,1512,0,157713,19037,2,184,0,19223
