0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,201104,347,0,201451,31458,54,0,31513,-316,0,0,-316,-49,0,0,-49,-458,0,0,-458,-72,0,0,-72,196658,347,0,197005,31012,55,0,31067
2,Total Financial Services,612588,58152,0,670740,95826,9097,0,104922,3350,235,0,3585,524,37,0,561,528,-209,0,319,83,-33,0,50,639129,57806,0,696935,100789,9116,0,109905
2a,Banks,295706,5748,0,301454,46257,899,0,47156,3314,8,0,3322,518,1,0,520,47,49,0,96,7,8,0,15,300664,5793,0,306456,47414,913,0,48327
2b,Other Financial Services1,316882,52403,0,369286,49569,8197,0,57766,36,227,0,263,6,35,0,41,480,-257,0,223,76,-41,0,35,338466,52014,0,390479,53375,8202,0,61578
3,Capital Goods,134474,953,0,135427,21035,149,0,21185,537,0,0,537,84,0,0,84,283,69,0,352,45,11,0,56,136613,953,0,137567,21544,150,0,21694
4,Chemicals & Petrochemicals,35914,0,0,35914,5618,0,0,5618,-178,0,0,-178,-28,0,0,-28,26,0,0,26,4,0,0,4,37464,0,0,37464,5908,0,0,5908
5,Coal,9768,0,0,9768,1528,0,0,1528,-147,0,0,-147,-23,0,0,-23,-227,0,0,-227,-36,0,0,-36,11014,0,0,11014,1737,0,0,1737
6,Commercial Services & Supplies,9365,200,0,9565,1465,31,0,1496,69,0,0,69,11,0,0,11,-1,0,0,-1,0,0,0,0,10325,200,0,10525,1628,32,0,1660
7,Construction Materials,60992,774,0,61766,9541,121,0,9662,-215,0,0,-215,-34,0,0,-34,39,0,0,39,6,0,0,6,63291,774,0,64064,9981,122,0,10103
8,Consumer Durables,4641,0,0,4641,726,0,0,726,-4,0,0,-4,-1,0,0,-1,62,0,0,62,10,0,0,10,4789,0,0,4789,755,0,0,755
9,Diversified2,2560,0,0,2560,400,0,0,400,0,0,0,0,0,0,0,0,14,0,0,14,2,0,0,2,2479,0,0,2479,391,0,0,391
10,Diversified Consumer Services,245,0,0,245,38,0,0,38,1,0,0,1,0,0,0,0,3,0,0,3,1,0,0,1,260,0,0,260,41,0,0,41
11,"Food, Beverages & Tobacco",107024,89,0,107113,16742,14,0,16755,-2,0,0,-2,0,0,0,0,-290,374,0,84,-46,59,0,13,108389,463,0,108852,17093,73,0,17166
12,Forest Materials,1793,0,0,1793,280,0,0,280,40,0,0,40,6,0,0,6,27,0,0,27,4,0,0,4,1964,0,0,1964,310,0,0,310
