0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","AUC as on December 31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment December 16-31, 2024","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,505062,32,0,0,0,0,0,0,0,0,0,505094,58987,4,0,0,0,0,0,0,0,0,0,58991,-2548,-6,0,0,0,0,0,0,0,0,0,-2554,-298,-1,0,0,0,0,0,0,0,0,0,-299,-1924,0,0,0,0,0,0,0,0,0,0,-1924,-222,0,0,0,0,0,0,0,0,0,0,-222,498326,32,0,0,0,0,0,0,0,0,0,498358,57609,4,0,0,0,0,0,0,0,0,0,57613
2,Capital Goods,386345,727,27,0,0,0,0,0,0,0,0,387099,45122,85,3,0,0,0,0,0,0,0,0,45210,471,-4,0,0,0,0,0,0,0,0,0,467,55,0,0,0,0,0,0,0,0,0,0,55,-2620,-6,0,0,0,0,0,0,0,0,0,-2626,-303,-1,0,0,0,0,0,0,0,0,0,-304,350248,721,27,0,0,0,0,0,0,0,0,350996,40491,83,3,0,0,0,0,0,0,0,0,40577
3,Chemicals,112261,0,615,0,0,0,0,0,0,0,0,112876,13111,0,72,0,0,0,0,0,0,0,0,13183,-46,0,0,0,0,0,0,0,0,0,0,-46,-5,0,0,0,0,0,0,0,0,0,0,-5,42,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,5,110954,0,615,0,0,0,0,0,0,0,0,111569,12827,0,71,0,0,0,0,0,0,0,0,12898
4,Construction,139955,113,0,0,0,0,0,0,0,0,0,140068,16345,13,0,0,0,0,0,0,0,0,0,16358,260,-1,0,0,0,0,0,0,0,0,0,259,30,0,0,0,0,0,0,0,0,0,0,30,-1623,0,0,0,0,0,0,0,0,0,0,-1623,-188,0,0,0,0,0,0,0,0,0,0,-188,130937,113,0,0,0,0,0,0,0,0,0,131050,15137,13,0,0,0,0,0,0,0,0,0,15150
5,Construction Materials,117666,1275,320,0,0,0,0,0,0,0,0,119261,13742,149,37,0,0,0,0,0,0,0,0,13928,-196,0,0,0,0,0,0,0,0,0,0,-196,-23,0,0,0,0,0,0,0,0,0,0,-23,-793,0,0,0,0,0,0,0,0,0,0,-793,-92,0,0,0,0,0,0,0,0,0,0,-92,109982,1275,320,0,0,0,0,0,0,0,0,111577,12715,147,37,0,0,0,0,0,0,0,0,12899
6,Consumer Durables,218756,0,0,0,0,0,0,0,0,0,0,218756,25549,0,0,0,0,0,0,0,0,0,0,25549,-152,0,0,0,0,0,0,0,0,0,0,-152,-18,0,0,0,0,0,0,0,0,0,0,-18,-931,0,0,0,0,0,0,0,0,0,0,-931,-108,0,0,0,0,0,0,0,0,0,0,-108,205428,0,0,0,0,0,0,0,0,0,0,205428,23749,0,0,0,0,0,0,0,0,0,0,23749
