0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","AUC as on January 15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 01-15, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","Net Investment January 16-31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021","AUC as on January 31, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,196284,317,0,0,196601,26879,43,0,0,26922,2798,0,0,0,2798,383,0,0,0,383,685,0,0,0,685,94,0,0,0,94,188502,317,0,0,188819,25839,44,0,0,25883
2,Total Financial Services,1342029,26393,13178,15280,1396880,183778,3614,1805,2092,191289,1247,-50,-531,-25,641,171,-7,-73,-3,88,-3765,-199,-383,0,-4347,-516,-27,-52,0,-595,1255342,27506,12751,0,1295599,172078,3770,1748,0,177596
2a,Banks,787059,6649,103,0,793811,107780,910,14,0,108704,-524,72,0,0,-452,-72,10,0,0,-62,-3384,-4,0,0,-3388,-464,-1,0,0,-465,742513,6679,107,0,749299,101781,916,15,0,102712
2b,Other Financial Services1,554970,19744,13075,15280,603069,75998,2704,1790,2092,82584,1771,-123,-531,-25,1092,242,-17,-73,-3,149,-380,-195,-383,0,-958,-52,-27,-52,0,-131,512829,20827,12643,0,546299,70297,2855,1733,0,74885
3,Capital Goods,144117,153,45,0,144315,19735,21,6,0,19762,2714,0,0,0,2714,372,0,0,0,372,907,0,0,0,907,124,0,0,0,124,145781,153,45,0,145979,19983,21,6,0,20010
4,Chemicals & Petrochemicals,52630,0,480,0,53110,7207,0,66,0,7273,403,0,0,0,403,55,0,0,0,55,388,0,0,0,388,53,0,0,0,53,52141,0,480,0,52621,7147,0,66,0,7213
5,Coal,6199,0,0,0,6199,849,0,0,0,849,418,0,0,0,418,57,0,0,0,57,-54,0,0,0,-54,-7,0,0,0,-7,5434,0,0,0,5434,745,0,0,0,745
6,Commercial Services & Supplies,15596,0,0,0,15596,2136,0,0,0,2136,-11,0,0,0,-11,-2,0,0,0,-2,43,0,0,0,43,6,0,0,0,6,15123,0,0,0,15123,2073,0,0,0,2073
7,Construction Materials,69233,229,200,0,69662,9481,31,27,0,9539,902,0,0,0,902,124,0,0,0,124,-379,0,0,0,-379,-52,0,0,0,-52,66611,229,200,0,67040,9131,31,27,0,9189
8,Consumer Durables,90588,0,0,0,90588,12405,0,0,0,12405,-213,0,0,0,-213,-29,0,0,0,-29,-508,0,0,0,-508,-70,0,0,0,-70,86326,0,0,0,86326,11833,0,0,0,11833
9,Diversified2,9406,200,0,0,9606,1288,27,0,0,1315,15,0,0,0,15,2,0,0,0,2,-76,0,0,0,-76,-10,0,0,0,-10,8681,200,0,0,8881,1190,27,0,0,1217
10,Diversified Consumer Services,2607,0,0,0,2607,357,0,0,0,357,-11,0,0,0,-11,-2,0,0,0,-2,-6,0,0,0,-6,-1,0,0,0,-1,2680,0,0,0,2680,367,0,0,0,367
11,Food & Drugs Retailing,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,"Food, Beverages & Tobacco",114748,214,0,0,114962,15714,29,0,0,15743,320,0,0,0,320,44,0,0,0,44,-312,0,0,0,-312,-43,0,0,0,-43,108584,214,0,0,108798,14884,29,0,0,14913
13,Forest Materials,1332,434,0,0,1766,182,59,0,0,241,0,0,0,0,0,0,0,0,0,0,-2,-20,0,0,-22,0,-3,0,0,-3,1345,335,79,0,1759,184,46,11,0,241
14,General Industrials,23988,55,0,0,24043,3285,8,0,0,3293,372,0,0,0,372,51,0,0,0,51,220,0,0,0,220,30,0,0,0,30,23759,55,0,0,23814,3257,8,0,0,3265
15,Hardware Technology & Equipment,40,0,0,0,40,5,0,0,0,5,-8,0,0,0,-8,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45,6,0,0,0,6
16,Healthcare Equipment & Supplies,169,0,0,0,169,23,0,0,0,23,-4,0,0,0,-4,-1,0,0,0,-1,20,0,0,0,20,3,0,0,0,3,184,0,0,0,184,25,0,0,0,25
17,Healthcare Services,36469,0,0,0,36469,4994,0,0,0,4994,285,0,0,0,285,39,0,0,0,39,1228,0,0,0,1228,168,0,0,0,168,37016,0,0,0,37016,5074,0,0,0,5074
18,"Hotels, Restaurants & Tourism",21283,100,0,0,21383,2915,14,0,0,2929,140,0,0,0,140,19,0,0,0,19,41,0,0,0,41,6,0,0,0,6,20459,100,0,0,20559,2804,14,0,0,2818
19,Household & Personal Products,147513,0,0,0,147513,20201,0,0,0,20201,1042,0,0,0,1042,143,0,0,0,143,-63,0,0,0,-63,-9,0,0,0,-9,142992,0,0,0,142992,19601,0,0,0,19601
20,Insurance,97514,80,0,0,97594,13354,11,0,0,13365,907,0,0,0,907,124,0,0,0,124,-46,10,0,0,-36,-6,1,0,0,-5,91234,90,0,0,91324,12506,12,0,0,12518
21,Media,21238,109,0,0,21347,2908,15,0,0,2923,-21,0,0,0,-21,-3,0,0,0,-3,61,0,0,0,61,8,0,0,0,8,20530,111,0,0,20641,2814,15,0,0,2829
22,Metals & Mining,61699,247,71,0,62017,8449,34,10,0,8493,1986,-67,0,0,1919,272,-9,0,0,263,-415,297,0,0,-118,-57,41,0,0,-16,55694,544,71,0,56309,7634,75,10,0,7719
23,Oil & Gas,362631,2685,55,0,365371,49659,368,8,0,50035,-842,18,0,0,-824,-115,3,0,0,-112,1480,10,0,0,1490,203,1,0,0,204,346768,2670,80,0,349518,47534,366,11,0,47911
24,Pharmaceuticals & Biotechnology,166625,0,0,0,166625,22818,0,0,0,22818,996,0,0,0,996,136,0,0,0,136,-443,0,0,0,-443,-61,0,0,0,-61,154519,0,0,0,154519,21181,0,0,0,21181
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,37690,101,0,0,37791,5161,14,0,0,5175,114,-2,0,0,112,16,0,0,0,16,-390,0,0,0,-390,-53,0,0,0,-53,34560,138,0,0,34698,4737,19,0,0,4756
27,Retailing,58436,150,0,0,58586,8002,21,0,0,8023,285,0,0,0,285,39,0,0,0,39,116,0,0,0,116,16,0,0,0,16,53487,150,0,0,53637,7332,21,0,0,7353
28,Software & Services,555587,0,0,0,555587,76083,0,0,0,76083,825,0,0,0,825,113,0,0,0,113,1328,0,0,0,1328,182,0,0,0,182,526311,0,0,0,526311,72145,0,0,0,72145
29,Telecom Services,90142,470,0,0,90612,12344,64,0,0,12408,1804,51,0,0,1855,247,7,0,0,254,781,-15,0,0,766,107,-2,0,0,105,82813,456,0,0,83269,11352,62,0,0,11414
30,Telecommunications Equipment,105,0,0,0,105,14,0,0,0,14,-1,0,0,0,-1,0,0,0,0,0,6,0,0,0,6,1,0,0,0,1,105,0,0,0,105,14,0,0,0,14
31,"Textiles, Apparels & Accessories",41718,0,0,0,41718,5713,0,0,0,5713,-47,0,0,0,-47,-6,0,0,0,-6,70,0,0,0,70,10,0,0,0,10,40219,0,0,0,40219,5513,0,0,0,5513
32,Transportation,45494,799,750,0,47043,6230,109,103,0,6442,509,0,0,0,509,70,0,0,0,70,269,0,0,0,269,37,0,0,0,37,44183,799,750,0,45732,6056,110,103,0,6269
32 a,Airlines,11053,699,0,0,11752,1514,96,0,0,1610,6,0,0,0,6,1,0,0,0,1,53,0,0,0,53,7,0,0,0,7,10508,699,0,0,11207,1440,96,0,0,1536
32 b,Logistics,1733,0,0,0,1733,237,0,0,0,237,-8,0,0,0,-8,-1,0,0,0,-1,47,0,0,0,47,6,0,0,0,6,1962,0,0,0,1962,269,0,0,0,269
32 c,Marine Port & Services,20196,100,0,0,20296,2766,14,0,0,2780,311,0,0,0,311,43,0,0,0,43,148,0,0,0,148,20,0,0,0,20,19657,100,0,0,19757,2695,14,0,0,2709
32 d,Roads & Highways,1810,0,750,0,2560,248,0,103,0,351,217,0,0,0,217,30,0,0,0,30,19,0,0,0,19,3,0,0,0,3,1774,0,750,0,2524,243,0,103,0,346
32 e,Shipping,1013,0,0,0,1013,139,0,0,0,139,6,0,0,0,6,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,962,0,0,0,962,132,0,0,0,132
