0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","Net Investment January 01-15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020","AUC as on January 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,155901,317,0,156218,21873,45,0,21918,400,0,0,400,56,0,0,56,277,0,0,277,39,0,0,39,157396,317,0,157713,22208,45,0,22253
2,Total Financial Services,1181152,41466,9740,1232358,165720,5818,1366,172904,2180,-2114,-4,62,306,-297,-1,8,-687,80,-20,-627,-97,11,-3,-89,1186224,41720,9332,1237276,167368,5886,1317,174571
2a,Banks,698344,7919,0,706263,97980,1111,0,99091,982,10,0,992,138,1,0,139,-225,8,0,-217,-32,1,0,-31,693720,7907,0,701627,97879,1116,0,98995
2b,Other Financial Services1,482808,33547,9740,526095,67740,4707,1366,73813,1198,-2124,-4,-930,168,-298,-1,-131,-462,72,-20,-410,-65,10,-3,-58,492504,33814,9332,535650,69489,4771,1317,75577
3,Capital Goods,94656,483,0,95139,13281,68,0,13349,-297,0,0,-297,-42,0,0,-42,18,0,0,18,2,0,0,2,98453,484,0,98937,13891,68,0,13959
4,Chemicals & Petrochemicals,43152,0,0,43152,6054,0,0,6054,92,0,0,92,13,0,0,13,-122,0,0,-122,-17,0,0,-17,44375,0,0,44375,6261,0,0,6261
5,Coal,11261,0,0,11261,1580,0,0,1580,31,0,0,31,4,0,0,4,-129,0,0,-129,-18,0,0,-18,11168,0,0,11168,1576,0,0,1576
6,Commercial Services & Supplies,9020,0,0,9020,1266,0,0,1266,9,0,0,9,1,0,0,1,11,0,0,11,2,0,0,2,9375,0,0,9375,1323,0,0,1323
7,Construction Materials,54353,419,0,54772,7626,59,0,7685,-590,-176,0,-766,-83,-25,0,-108,65,0,0,65,9,0,0,9,60132,419,0,60551,8484,59,0,8543
8,Consumer Durables,51627,0,0,51627,7243,0,0,7243,145,0,0,145,20,0,0,20,-181,0,0,-181,-25,0,0,-25,53326,0,0,53326,7524,0,0,7524
9,Diversified2,6435,0,0,6435,903,0,0,903,7,0,0,7,1,0,0,1,-108,0,0,-108,-15,0,0,-15,6728,0,0,6728,949,0,0,949
10,Diversified Consumer Services,2763,0,0,2763,388,0,0,388,-24,0,0,-24,-3,0,0,-3,17,0,0,17,2,0,0,2,2696,0,0,2696,380,0,0,380
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",107926,693,0,108619,15142,97,0,15239,-575,3,0,-572,-81,0,0,-81,-258,-1,0,-259,-36,0,0,-36,110671,692,0,111363,15615,98,0,15713
13,Forest Materials,955,434,0,1389,134,61,0,195,-2,0,0,-2,0,0,0,0,-1,0,0,-1,0,0,0,0,997,434,0,1431,141,61,0,202
14,General Industrials,14904,0,0,14904,2091,0,0,2091,90,-385,0,-295,13,-54,0,-41,143,0,0,143,20,0,0,20,15726,0,0,15726,2219,0,0,2219
15,Hardware Technology & Equipment,43,0,0,43,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,6,0,0,6
16,Healthcare Equipment & Supplies,72,0,0,72,10,0,0,10,-1,0,0,-1,0,0,0,0,-4,0,0,-4,-1,0,0,-1,74,0,0,74,10,0,0,10
17,Healthcare Services,20097,0,0,20097,2820,0,0,2820,-219,0,0,-219,-31,0,0,-31,-26,0,0,-26,-4,0,0,-4,21421,0,0,21421,3022,0,0,3022
18,"Hotels, Restaurants & Tourism",13251,104,0,13355,1859,15,0,1874,-159,0,0,-159,-22,0,0,-22,69,0,0,69,10,0,0,10,13596,104,0,13700,1918,15,0,1933
19,Household & Personal Products,107902,0,0,107902,15139,0,0,15139,-401,0,0,-401,-56,0,0,-56,-463,0,0,-463,-65,0,0,-65,113486,0,0,113486,16012,0,0,16012
