0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","AUC as on July 15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 01-15, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","Net Investment July 16-31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023","AUC as on July 31, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,343173,16,11,0,343200,41798,2,1,0,41801,1629,-4,0,0,1625,198,0,0,0,198,1609,-58,0,0,1551,196,-7,0,0,189,345726,15,11,0,345752,42034,2,1,0,42037
2,Capital Goods,188798,368,0,0,189166,22996,45,0,0,23041,2422,-12,0,0,2410,295,-1,0,0,294,3211,0,0,0,3211,390,0,0,0,390,203513,368,0,0,203881,24744,45,0,0,24789
3,Chemicals,96932,0,0,0,96932,11806,0,0,0,11806,-207,0,0,0,-207,-25,0,0,0,-25,-783,0,0,0,-783,-95,0,0,0,-95,96354,0,0,0,96354,11715,0,0,0,11715
4,Construction,97962,521,2178,0,100661,11932,63,265,0,12260,647,0,0,0,647,79,0,0,0,79,1520,0,0,0,1520,185,0,0,0,185,107868,521,2178,0,110567,13115,63,265,0,13443
5,Construction Materials,91750,970,844,0,93564,11175,118,103,0,11396,661,0,0,0,661,80,0,0,0,80,-194,0,0,0,-194,-24,0,0,0,-24,94048,970,844,0,95862,11435,118,103,0,11656
6,Consumer Durables,182312,0,0,0,182312,22206,0,0,0,22206,2021,0,0,0,2021,246,0,0,0,246,387,0,0,0,387,47,0,0,0,47,182978,0,0,0,182978,22247,0,0,0,22247
7,Consumer Services,133362,359,545,0,134266,16243,44,66,0,16353,655,0,0,0,655,80,0,0,0,80,139,0,0,0,139,17,0,0,0,17,134850,359,545,0,135754,16396,44,66,0,16506
