0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,151922,317,0,152239,22044,46,0,22090,263,0,0,263,38,0,0,38,37,0,0,37,5,0,0,5,146028,317,0,146345,21292,46,0,21338
2,Total Financial Services,1103154,53831,4262,1161247,160068,7811,618,168497,-7,-974,-7,-988,-1,-141,-1,-143,-684,-323,-3,-1010,-100,-47,0,-147,1091734,53670,4400,1149804,159183,7825,642,167650
2a,Banks,640758,7995,0,648753,92974,1160,0,94134,-1440,15,0,-1425,-209,2,0,-207,-1531,-17,0,-1548,-223,-3,0,-226,633781,7973,0,641754,92410,1163,0,93573
2b,Other Financial Services1,462396,45836,4262,512494,67094,6651,618,74363,1433,-989,-7,437,208,-143,-1,64,847,-306,-3,538,123,-45,0,78,457952,45697,4400,508049,66773,6663,642,74078
3,Capital Goods,105443,578,0,106021,15300,84,0,15384,943,101,0,1044,137,15,0,152,-226,0,0,-226,-33,0,0,-33,99149,578,0,99727,14457,84,0,14541
4,Chemicals & Petrochemicals,43539,0,0,43539,6317,0,0,6317,142,0,0,142,21,0,0,21,23,0,0,23,3,0,0,3,43661,0,0,43661,6366,0,0,6366
5,Coal,14108,0,0,14108,2047,0,0,2047,180,0,0,180,26,0,0,26,111,0,0,111,16,0,0,16,13041,0,0,13041,1901,0,0,1901
6,Commercial Services & Supplies,7461,200,0,7661,1083,29,0,1112,17,0,0,17,3,0,0,3,-5,0,0,-5,-1,0,0,-1,6890,200,0,7090,1005,29,0,1034
7,Construction Materials,59846,569,0,60415,8684,83,0,8767,-279,-10,0,-289,-40,-1,0,-41,-121,0,0,-121,-18,0,0,-18,60069,569,0,60638,8759,83,0,8842
8,Consumer Durables,40734,0,0,40734,5910,0,0,5910,-188,0,0,-188,-27,0,0,-27,-214,0,0,-214,-31,0,0,-31,39577,0,0,39577,5771,0,0,5771
9,Diversified2,3806,0,0,3806,552,0,0,552,30,0,0,30,4,0,0,4,73,0,0,73,11,0,0,11,3537,0,0,3537,516,0,0,516
10,Diversified Consumer Services,3034,0,0,3034,440,0,0,440,1,0,0,1,0,0,0,0,22,0,0,22,3,0,0,3,3041,0,0,3041,443,0,0,443
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",102311,662,0,102973,14845,96,0,14941,-315,0,0,-315,-46,0,0,-46,-643,0,0,-643,-94,0,0,-94,99838,662,0,100500,14557,96,0,14653
13,Forest Materials,1105,335,0,1440,160,49,0,209,-8,0,0,-8,-1,0,0,-1,-7,0,0,-7,-1,0,0,-1,1016,335,0,1351,148,49,0,197
14,General Industrials,17993,385,0,18378,2611,56,0,2667,-15,0,0,-15,-2,0,0,-2,-11,0,0,-11,-2,0,0,-2,17670,385,0,18055,2576,56,0,2632
15,Hardware Technology & Equipment,38,0,0,38,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,38,5,0,0,5
16,Healthcare Equipment & Supplies,83,0,0,83,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,80,12,0,0,12
17,Healthcare Services,15753,0,0,15753,2286,0,0,2286,217,0,0,217,32,0,0,32,58,0,0,58,8,0,0,8,15800,0,0,15800,2304,0,0,2304
18,"Hotels, Restaurants & Tourism",11466,104,0,11570,1664,15,0,1679,-7,0,0,-7,-1,0,0,-1,34,0,0,34,5,0,0,5,10985,104,0,11089,1602,15,0,1617
19,Household & Personal Products,101653,0,0,101653,14750,0,0,14750,-160,0,0,-160,-23,0,0,-23,67,0,0,67,10,0,0,10,99000,0,0,99000,14435,0,0,14435
20,Insurance,44291,0,0,44291,6427,0,0,6427,2589,0,0,2589,376,0,0,376,141,0,0,141,21,0,0,21,45935,0,0,45935,6698,0,0,6698
21,Media,22883,172,0,23055,3320,25,0,3345,178,-2,0,176,26,0,0,26,82,0,0,82,12,0,0,12,23177,172,0,23349,3379,25,0,3404
22,Metals & Mining,50535,412,0,50947,7333,60,0,7393,-323,0,0,-323,-47,0,0,-47,118,0,0,118,17,0,0,17,48689,412,0,49101,7099,60,0,7159
23,Oil & Gas,253402,5992,0,259394,36769,869,0,37638,-87,38,0,-49,-13,6,0,-7,-264,-102,0,-366,-39,-15,0,-54,253110,5899,0,259009,36905,860,0,37765
24,Pharmaceuticals & Biotechnology,106121,950,0,107071,15398,138,0,15536,-941,0,0,-941,-137,0,0,-137,-365,0,0,-365,-53,0,0,-53,107193,950,0,108143,15629,139,0,15768
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,28978,583,0,29561,4205,85,0,4290,445,-1,0,444,65,0,0,65,-54,0,0,-54,-8,0,0,-8,30326,582,0,30908,4422,85,0,4507
27,Retailing,29728,300,0,30028,4314,44,0,4358,-60,0,0,-60,-9,0,0,-9,93,0,0,93,14,0,0,14,29583,300,0,29883,4313,44,0,4357
28,Software & Services,352947,0,0,352947,51213,0,0,51213,-1645,0,0,-1645,-239,0,0,-239,-4785,0,0,-4785,-698,0,0,-698,346045,0,0,346045,50456,0,0,50456
29,Telecom Services,62429,1253,0,63682,9058,182,0,9240,-73,-563,0,-636,-11,-82,0,-93,162,-259,0,-97,24,-38,0,-14,62450,1160,0,63610,9106,169,0,9275
30,Telecommunications Equipment,179,0,0,179,26,0,0,26,6,0,0,6,1,0,0,1,3,0,0,3,0,0,0,0,183,0,0,183,27,0,0,27
31,"Textiles, Apparels & Accessories",46454,0,0,46454,6740,0,0,6740,-240,0,0,-240,-35,0,0,-35,-550,0,0,-550,-80,0,0,-80,40783,0,0,40783,5947,0,0,5947
32,Transportation,44276,699,0,44975,6424,101,0,6525,-70,0,0,-70,-10,0,0,-10,95,0,0,95,14,0,0,14,42408,699,0,43107,6183,102,0,6285
32 a,Airlines,9729,699,0,10428,1412,101,0,1513,4,0,0,4,1,0,0,1,59,0,0,59,9,0,0,9,8715,699,0,9414,1271,102,0,1373
32 b,Logistics,2043,0,0,2043,296,0,0,296,8,0,0,8,1,0,0,1,-6,0,0,-6,-1,0,0,-1,1911,0,0,1911,279,0,0,279
32 c,Marine Port & Services,19273,0,0,19273,2797,0,0,2797,-116,0,0,-116,-17,0,0,-17,40,0,0,40,6,0,0,6,19156,0,0,19156,2793,0,0,2793
32 d,Roads & Highways,2188,0,0,2188,317,0,0,317,-4,0,0,-4,-1,0,0,-1,-8,0,0,-8,-1,0,0,-1,1944,0,0,1944,283,0,0,283
32 e,Shipping,1078,0,0,1078,156,0,0,156,4,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1028,0,0,1028,150,0,0,150
32 f,Surface Transportation,47,0,0,47,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,6,0,0,6
32 g,Transport Related Services,9918,0,0,9918,1439,0,0,1439,33,0,0,33,5,0,0,5,10,0,0,10,2,0,0,2,9610,0,0,9610,1401,0,0,1401
33,Utilities3,91174,3795,0,94969,13229,551,0,13780,507,57,0,564,74,8,0,82,104,-498,0,-394,15,-73,0,-58,82269,3446,0,85715,11995,502,0,12497
34,Sovereign,0,202154,0,202154,0,29333,0,29333,0,311,0,311,0,45,0,45,0,6113,0,6113,0,891,0,891,0,208402,0,208402,0,30386,0,30386
