0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,510983,25,220,0,0,0,0,0,0,0,0,511228,59733,3,26,0,0,0,0,0,0,0,0,59762,5020,-6,0,0,0,0,0,0,0,0,0,5014,587,-1,0,0,0,0,0,0,0,0,0,586,-1159,25,0,0,0,0,0,0,0,0,0,-1134,-135,3,0,0,0,0,0,0,0,0,0,-132,509003,50,220,0,0,0,0,0,0,0,0,509273,59306,6,26,0,0,0,0,0,0,0,0,59338
2,Capital Goods,394124,618,39,0,0,0,0,0,0,0,0,394781,46073,72,5,0,0,0,0,0,0,0,0,46150,-3022,0,0,0,0,0,0,0,0,0,0,-3022,-353,0,0,0,0,0,0,0,0,0,0,-353,922,-22,-1,0,0,0,0,0,0,0,0,899,107,-3,0,0,0,0,0,0,0,0,0,104,392113,596,38,0,0,0,0,0,0,0,0,392747,45687,69,4,0,0,0,0,0,0,0,0,45760
3,Chemicals,137226,0,523,0,0,0,0,0,0,0,0,137749,16042,0,61,0,0,0,0,0,0,0,0,16103,987,0,0,0,0,0,0,0,0,0,0,987,115,0,0,0,0,0,0,0,0,0,0,115,168,0,0,0,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0,0,20,135592,0,523,0,0,0,0,0,0,0,0,136115,15798,0,61,0,0,0,0,0,0,0,0,15859
4,Construction,127820,345,0,0,90,0,0,0,0,0,0,128255,14942,40,0,0,11,0,0,0,0,0,0,14993,-14,250,0,0,1,0,0,0,0,0,0,237,-2,29,0,0,0,0,0,0,0,0,0,27,-38,0,-100,0,1,0,0,0,0,0,0,-137,-4,0,-12,0,0,0,0,0,0,0,0,-16,122434,95,150,0,94,0,0,0,0,0,0,122773,14265,11,17,0,11,0,0,0,0,0,0,14304
5,Construction Materials,122722,1250,0,0,0,0,0,0,0,0,0,123972,14346,146,0,0,0,0,0,0,0,0,0,14492,842,0,0,0,0,0,0,0,0,0,0,842,98,0,0,0,0,0,0,0,0,0,0,98,136,0,0,0,0,0,0,0,0,0,0,136,16,0,0,0,0,0,0,0,0,0,0,16,125173,1250,0,0,0,0,0,0,0,0,0,126423,14584,146,0,0,0,0,0,0,0,0,0,14730
6,Consumer Durables,194034,0,0,0,0,0,0,0,0,0,0,194034,22682,0,0,0,0,0,0,0,0,0,0,22682,-600,0,0,0,0,0,0,0,0,0,0,-600,-70,0,0,0,0,0,0,0,0,0,0,-70,-1292,0,0,0,0,0,0,0,0,0,0,-1292,-151,0,0,0,0,0,0,0,0,0,0,-151,193422,0,0,0,0,0,0,0,0,0,0,193422,22536,0,0,0,0,0,0,0,0,0,0,22536
