0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on July 15, 2016","AUC as on July 15, 2016","AUC as on July 15, 2016","AUC as on July 15, 2016","AUC as on July 15, 2016","AUC as on July 15, 2016","Net Investment July 01-15, 2016","Net Investment July 01-15, 2016","Net Investment July 01-15, 2016","Net Investment July 01-15, 2016","Net Investment July 01-15, 2016","Net Investment July 01-15, 2016","Net Investment July 16-31, 2016","Net Investment July 16-31, 2016","Net Investment July 16-31, 2016","Net Investment July 16-31, 2016","Net Investment July 16-31, 2016","Net Investment July 16-31, 2016","AUC as on July 31, 2016","AUC as on July 31, 2016","AUC as on July 31, 2016","AUC as on July 31, 2016","AUC as on July 31, 2016","AUC as on July 31, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,133129,317,133447,19851,47,19898,373,0,373,56,0,56,874,0,874,130,0,130,136857,317,137175,20416,47,20463
2,Total Financial Services,458703,42830,501533,68396,6386,74783,583,517,1100,87,77,164,1521,-282,1239,227,-42,185,471840,42531,514372,70388,6345,76733
2a,Banks,209924,2356,212280,31301,351,31653,55,-5,50,8,-1,8,280,-3,277,42,0,41,213387,2359,215747,31833,352,32185
2b,Other Financial Services1,248779,40474,289253,37095,6035,43130,528,522,1050,79,78,157,1242,-279,963,185,-42,144,258453,40172,298625,38555,5993,44548
3,Capital Goods,120265,877,121143,17933,131,18063,915,0,915,136,0,136,1317,-30,1287,196,-4,192,125461,847,126309,18716,126,18843
4,Chemicals & Petrochemicals,26859,0,26859,4005,0,4005,-17,0,-17,-3,0,-3,-22,0,-22,-3,0,-3,28534,0,28534,4257,0,4257
5,Coal,16448,0,16448,2453,0,2453,113,0,113,17,0,17,168,0,168,25,0,25,17073,0,17073,2547,0,2547
6,Commercial Services & Supplies,4694,200,4894,700,30,730,12,0,12,2,0,2,16,0,16,2,0,2,4754,200,4954,709,30,739
7,Construction Materials,49091,746,49837,7320,111,7431,685,-40,645,102,-6,96,432,178,610,64,27,91,51645,924,52569,7704,138,7842
8,Consumer Durables,5860,0,5860,874,0,874,46,0,46,7,0,7,-3,0,-3,0,0,0,6044,0,6044,902,0,902
9,Diversified2,3690,0,3690,550,0,550,-1,0,-1,0,0,0,21,0,21,3,0,3,4132,0,4132,616,0,616
10,Diversified Consumer Services,242,0,242,36,0,36,-6,0,-6,-1,0,-1,-9,0,-9,-1,0,-1,229,0,229,34,0,34
11,"Food, Beverages & Tobacco",95901,81,95982,14300,12,14312,542,0,542,81,0,81,407,0,407,61,0,61,98428,81,98508,14683,12,14695
12,Forest Materials,993,0,993,148,0,148,-8,0,-8,-1,0,-1,23,0,23,3,0,3,1073,0,1073,160,0,160
13,General Industrials,15124,385,15509,2255,57,2313,-526,0,-526,-78,0,-78,-34,0,-34,-5,0,-5,16085,385,16470,2400,57,2457
14,Hardware Technology & Equipment,35,0,35,5,0,5,0,0,0,0,0,0,-1,0,-1,0,0,0,37,0,37,5,0,5
15,Healthcare Equipment & Supplies,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
16,Healthcare Services,9553,0,9553,1424,0,1424,8,0,8,1,0,1,-8,0,-8,-1,0,-1,9454,0,9454,1410,0,1410
17,"Hotels, Restaurants & Tourism",6477,125,6602,966,19,984,19,0,19,3,0,3,-27,0,-27,-4,0,-4,6558,125,6683,978,19,997
18,Household & Personal Products,78509,0,78509,11706,0,11706,426,0,426,63,0,63,54,0,54,8,0,8,78069,0,78069,11646,0,11646
19,Media,32176,761,32937,4798,113,4911,103,0,103,15,0,15,60,0,60,9,0,9,34091,762,34853,5086,114,5199
20,Metals & Mining,34853,654,35507,5197,98,5294,271,0,271,40,0,40,135,-16,120,20,-2,18,35228,640,35868,5255,96,5351
21,Oil & Gas,103242,49,103290,15394,7,15401,-385,0,-385,-57,0,-57,972,0,972,145,0,145,115980,49,116028,17302,7,17309
22,Pharmaceuticals & Biotechnology,154041,0,154041,22969,0,22969,-703,0,-703,-105,0,-105,140,0,140,21,0,21,156718,0,156718,23379,0,23379
23,Realty,16658,211,16869,2484,31,2515,213,0,213,32,0,32,83,0,83,12,0,12,17052,211,17263,2544,31,2575
24,Retailing,7253,0,7253,1082,0,1082,-43,0,-43,-6,0,-6,-13,0,-13,-2,0,-2,7422,0,7422,1107,0,1107
25,Software & Services,244616,0,244616,36474,0,36474,-347,0,-347,-52,0,-52,1,0,1,0,0,0,251873,0,251873,37574,0,37574
26,Telecom Services,38648,2763,41411,5763,412,6175,-130,25,-105,-19,4,-16,-270,16,-254,-40,2,-38,36704,2778,39482,5475,414,5890
27,Telecommunications Equipment,249,0,249,37,0,37,12,0,12,2,0,2,0,0,0,0,0,0,244,0,244,36,0,36
28,"Textiles, Apparels & Accessories",32757,0,32757,4884,0,4884,70,0,70,10,0,10,77,0,77,12,0,12,33437,0,33437,4988,0,4988
29,Transportation,32621,720,33341,4864,107,4971,-92,0,-92,-14,0,-14,49,0,49,7,0,7,33463,720,34183,4992,107,5099
29 a,Airlines,369,699,1068,55,104,159,24,0,24,4,0,4,26,0,26,4,0,4,427,699,1126,64,104,168
29 b,Logistics,3165,1,3166,472,0,472,38,0,38,6,0,6,-3,0,-3,0,0,0,3102,1,3103,463,0,463
