0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,576949,163,10,0,577122,69041,19,1,0,69061,2993,0,0,0,2993,358,0,0,0,358,3155,0,0,0,3155,377,0,0,0,377,604398,163,10,0,604571,72172,19,1,0,72192
2,Capital Goods,419579,771,29,0,420379,50209,92,4,0,50305,3612,0,0,0,3612,432,0,0,0,432,1315,0,0,0,1315,157,0,0,0,157,416645,771,29,0,417445,49752,92,3,0,49847
3,Chemicals,116088,0,615,0,116703,13892,0,74,0,13966,-118,0,0,0,-118,-14,0,0,0,-14,-394,0,0,0,-394,-47,0,0,0,-47,120612,0,615,0,121227,14402,0,73,0,14475
4,Construction,146785,305,0,88,147178,17565,37,0,10,17612,-902,0,0,0,-902,-108,0,0,0,-108,-627,0,0,0,-627,-75,0,0,0,-75,151722,305,0,88,152115,18117,36,0,10,18163
5,Construction Materials,135321,1275,380,0,136976,16193,153,45,0,16391,194,0,0,0,194,23,0,0,0,23,486,0,0,0,486,58,0,0,0,58,136945,1275,380,0,138600,16353,152,45,0,16550
6,Consumer Durables,212077,0,0,0,212077,25378,0,0,0,25378,125,0,0,0,125,15,0,0,0,15,-313,0,0,0,-313,-37,0,0,0,-37,218526,0,0,0,218526,26095,0,0,0,26095
7,Consumer Services,297441,1109,670,0,299220,35594,133,80,0,35807,1642,0,0,0,1642,196,0,0,0,196,1787,-10,0,0,1777,213,-1,0,0,212,305138,1099,670,0,306907,36437,131,80,0,36648
8,Diversified,7387,218,0,0,7605,884,26,0,0,910,316,50,0,0,366,38,6,0,0,44,54,0,0,0,54,7,0,0,0,7,7659,218,0,0,7877,915,26,0,0,941
9,Fast Moving Consumer Goods,445113,115,285,0,445513,53265,14,34,0,53313,1809,0,0,0,1809,217,0,0,0,217,-834,0,0,0,-834,-100,0,0,0,-100,455970,115,285,0,456370,54448,14,34,0,54496
10,Financial Services,2077268,21518,14404,0,2113190,248579,2575,1724,0,252878,471,1101,247,0,1820,56,132,30,0,218,-8119,538,-155,0,-7736,-969,64,-18,0,-923,2049902,22045,14256,0,2086203,244782,2632,1702,0,249116
11,Forest Materials,4051,458,0,0,4509,485,55,0,0,540,43,0,0,0,43,5,0,0,0,5,107,0,0,0,107,13,0,0,0,13,4232,458,0,0,4690,505,55,0,0,560
12,Healthcare,416952,213,0,0,417165,49895,26,0,0,49921,2378,0,0,0,2378,285,0,0,0,285,2676,0,0,0,2676,319,0,0,0,319,436667,213,0,0,436880,52143,25,0,0,52168
13,Information Technology,646225,0,21,0,646246,77331,0,3,0,77334,2765,-340,0,0,2425,331,-41,0,0,290,8998,0,0,0,8998,1074,0,0,0,1074,690232,0,21,0,690253,82422,0,3,0,82425
14,"Media, Entertainment & Publication",14554,0,65,0,14619,1742,0,8,0,1750,338,0,0,0,338,40,0,0,0,40,136,0,25,0,161,16,0,3,0,19,15029,0,55,0,15084,1795,0,7,0,1802
15,Metals & Mining,218877,71,1250,0,220198,26192,8,150,0,26350,1969,0,0,0,1969,236,0,0,0,236,5341,0,0,0,5341,638,0,0,0,638,221118,71,1250,0,222439,26404,8,149,0,26561
16,"Oil, Gas & Consumable Fuels",654704,388,0,0,655092,78346,46,0,0,78392,1944,-25,0,0,1920,233,-3,0,0,230,-325,75,0,0,-250,-39,9,0,0,-30,636462,463,0,0,636925,76001,55,0,0,76056
17,Power,323847,3418,237,6863,334365,38754,409,28,821,40012,-891,-44,-14,-33,-982,-107,-5,-2,-4,-117,-2905,0,0,-46,-2951,-347,0,0,-5,-352,334459,3418,237,6897,345011,39938,408,28,824,41198
18,Realty,167265,834,688,20071,188858,20016,100,82,2402,22600,192,0,0,127,319,23,0,0,15,38,36,-2,0,229,263,4,0,0,27,31,164021,833,684,20630,186168,19586,99,82,2463,22230
19,Services,158261,1048,0,3997,163306,18938,125,0,478,19541,547,0,0,-7,540,65,0,0,-1,65,-2021,23,0,-13,-2011,-241,3,0,-2,-240,162182,1054,0,3957,167193,19366,126,0,472,19964
20,Telecommunication,263761,193,0,11233,275187,31563,23,0,1344,32930,934,0,0,0,934,112,0,0,0,112,2204,0,0,0,2204,263,0,0,0,263,277007,193,0,11233,288433,33078,23,0,1341,34442
21,Textiles,20653,460,0,0,21113,2471,55,0,0,2526,41,0,0,0,41,5,0,0,0,5,53,0,0,0,53,6,0,0,0,6,21650,460,0,0,22110,2585,55,0,0,2640
22,Utilities,2129,100,0,0,2229,255,12,0,0,267,-38,0,0,0,-38,-5,0,0,0,-5,28,0,0,0,28,3,0,0,0,3,2353,100,0,0,2453,281,12,0,0,293
23,Sovereign,0,249972,2181,0,252153,0,29913,261,0,30174,0,8276,139,0,8415,0,990,17,0,1007,0,10958,-132,0,10826,0,1308,-16,0,1292,0,260123,2051,0,262174,0,31062,245,0,31307
24,Others,25078,79465,135126,8636,248305,3001,9509,16170,1033,29713,357,50,-4762,0,-4355,43,6,-570,0,-521,808,1713,-1539,0,982,96,204,-184,0,116,26351,81223,133122,8633,249329,3147,9699,15896,1031,29773
,Grand Total,7350365,362095,155960,50886,7919306,879590,43331,18663,6089,947673,20720,9069,-4389,86,25486,2480,1085,-525,10,3050,11645,13295,-1800,171,23311,1391,1588,-215,20,2784,7459279,374599,153665,51438,8038981,890724,44731,18349,6142,959946
