0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC  as on June 15, 2013","AUC  as on June 15, 2013","AUC  as on June 15, 2013","AUC  as on June 15, 2013","AUC  as on June 15, 2013","AUC  as on June 15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 1-15, 2013","Net  Investment  June 16-30, 2013","Net  Investment  June 16-30, 2013","Net  Investment  June 16-30, 2013","Net  Investment  June 16-30, 2013","Net  Investment  June 16-30, 2013","Net  Investment  June 16-30, 2013","AUC  as on June 30, 2013","AUC  as on June 30, 2013","AUC  as on June 30, 2013","AUC  as on June 30, 2013","AUC  as on June 30, 2013","AUC  as on June 30, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,59011,0,59011,10220,0,10220,-200,0,-200,-35,0,-35,-415,0,-415,-69,0,-69,59858,0,59858,10027,0,10027
2,Total Financial Services,354912,40707,395619,61466,7050,68516,-2089,-1280,-3368,-362,-222,-583,-3597,-1768,-5364,-603,-296,-899,347264,39323,386586,58169,6587,64755
2a,Banks,213488,169,213657,36973,29,37003,-1534,0,-1534,-266,0,-266,-2908,0,-2908,-487,0,-487,204940,169,205109,34329,28,34357
2b,Other Financial Services1,141424,40538,181961,24493,7021,31513,-555,-1280,-1835,-96,-222,-318,-689,-1768,-2456,-115,-296,-411,142324,39154,181478,23840,6558,30399
3,Capital Goods,65256,456,65711,11301,79,11380,-124,-200,-324,-21,-35,-56,-1147,-62,-1209,-192,-10,-203,61454,393,61847,10294,66,10360
4,Chemicals & Petrochemicals,9056,4,9060,1568,1,1569,83,0,83,14,0,14,-10,0,-10,-2,0,-2,8864,4,8868,1485,1,1485
5,Coal,10708,0,10708,1854,0,1854,-232,0,-232,-40,0,-40,-64,0,-64,-11,0,-11,10675,0,10675,1788,0,1788
6,Commercial Services & Supplies,5836,0,5836,1011,0,1011,7,0,7,1,0,1,10,0,10,2,0,2,6350,0,6350,1064,0,1064
7,Construction Materials,26735,0,26735,4630,0,4630,-19,0,-19,-3,0,-3,-229,0,-229,-38,0,-38,26765,0,26765,4483,0,4483
8,Consumer Durables,11987,0,11987,2076,0,2076,102,0,102,18,0,18,-62,0,-62,-10,0,-10,12034,0,12034,2016,0,2016
9,Diversified2,2419,0,2419,419,0,419,-34,0,-34,-6,0,-6,-43,0,-43,-7,0,-7,2395,0,2395,401,0,401
10,Diversified Consumer Services,187,0,187,32,0,32,-8,0,-8,-1,0,-1,-3,0,-3,0,0,0,187,0,187,31,0,31
11,"Food, Beverages & Tobacco",87622,100,87722,15175,17,15192,-194,0,-194,-34,0,-34,-974,0,-974,-163,0,-163,83741,100,83841,14027,17,14044
12,Forest Materials,408,0,408,71,0,71,6,0,6,1,0,1,-1,0,-1,0,0,0,385,0,385,64,0,64
13,General Industrials,5823,0,5823,1009,0,1009,37,0,37,6,0,6,46,0,46,8,0,8,5643,0,5643,945,0,945
14,Hardware Technology & Equipment,193,0,193,33,0,33,0,0,0,0,0,0,-1,0,-1,0,0,0,192,0,192,32,0,32
15,Healthcare Equipment & Supplies,167,0,167,29,0,29,-43,0,-43,-8,0,-8,-5,0,-5,-1,0,-1,150,0,150,25,0,25
16,Healthcare Services,6014,125,6139,1041,22,1063,150,0,150,26,0,26,-33,0,-33,-6,0,-6,6214,125,6339,1041,21,1062
17,"Hotels, Restaurants & Tourism",4235,0,4235,734,0,734,79,0,79,14,0,14,-6,0,-6,-1,0,-1,4413,0,4413,739,0,739
18,Household & Personal Products,53575,95,53670,9278,16,9295,-336,0,-336,-58,0,-58,-1830,0,-1830,-306,0,-306,51224,95,51319,8580,16,8596
19,Media,15736,190,15926,2725,33,2758,-175,0,-175,-30,0,-30,35,0,35,6,0,6,16419,190,16610,2750,32,2782
20,Metals & Mining,30248,610,30858,5239,106,5344,29,-95,-66,5,-16,-11,-339,-5,-345,-57,-1,-58,29011,605,29616,4860,101,4961
21,Oil & Gas,80442,5397,85839,13932,935,14866,-248,-95,-343,-43,-16,-59,-378,-255,-632,-63,-43,-106,83242,5145,88387,13944,862,14805
22,Pharmaceuticals & Biotechnology,80438,484,80921,13931,84,14015,236,-202,34,41,-35,6,-142,0,-142,-24,0,-24,81551,482,82034,13660,81,13741
23,Realty,16248,450,16698,2814,78,2892,5,0,5,1,0,1,-60,0,-60,-10,0,-10,15456,250,15706,2589,42,2631
24,Retailing,2505,0,2505,434,0,434,-3,0,-3,-1,0,-1,-13,0,-13,-2,0,-2,2230,0,2230,374,0,374
25,Software & Services,138750,0,138750,24030,0,24030,29,0,29,5,0,5,-441,0,-441,-74,0,-74,143936,0,143936,24110,0,24110
26,Telecom Services,29089,930,30019,5038,161,5199,-283,0,-283,-49,0,-49,38,0,38,6,0,6,29822,930,30752,4995,156,5151
27,Telecommunications Equipment,112,0,112,19,0,19,-2,0,-2,0,0,0,0,0,0,0,0,0,138,0,138,23,0,23
28,"Textiles, Apparels & Accessories",15019,0,15019,2601,0,2601,-107,0,-107,-19,0,-19,81,0,81,14,0,14,14432,0,14432,2417,0,2417
29,Transportation,12975,0,12975,2247,0,2247,519,0,519,90,0,90,119,0,119,20,0,20,12788,0,12788,2142,0,2142
29 a,Airlines,321,0,321,56,0,56,-1,0,-1,0,0,0,45,0,45,8,0,8,361,0,361,60,0,60
29 b,Logistics,832,0,832,144,0,144,-1,0,-1,0,0,0,0,0,0,0,0,0,774,0,774,130,0,130
29 c,Marine Port & Services,5593,0,5593,969,0,969,461,0,461,80,0,80,67,0,67,11,0,11,5728,0,5728,959,0,959
29 d,Roads & Highways,1232,0,1232,213,0,213,-3,0,-3,0,0,0,6,0,6,1,0,1,1018,0,1018,171,0,171
29 e,Shipping,908,0,908,157,0,157,9,0,9,2,0,2,2,0,2,0,0,0,859,0,859,144,0,144
29 f,Surface Transportation,28,0,28,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,4,0,4
29 g,Transport Related Services,4061,0,4061,703,0,703,53,0,53,9,0,9,-1,0,-1,0,0,0,4022,0,4022,674,0,674
30,Utilities3,41483,876,42359,7184,152,7336,139,-5,134,24,-1,23,-72,-5,-77,-12,-1,-13,40841,871,41712,6841,146,6987
31,Sovereign,0,79411,79411,0,13753,13753,0,-13595,-13595,0,-2354,-2354,0,-8612,-8612,0,-1443,-1443,0,70646,70646,0,11834,11834
32,Others4,25198,49065,74263,4364,8497,12861,1229,-1648,-419,213,-285,-73,-63,-5306,-5369,-11,-889,-899,25631,46575,72206,4293,7802,12095
,Grand Total,1192388,178899,1371287,206506,30983,237489,-1444,-17121,-18565,-250,-2965,-3215,-9597,-16014,-25611,-1608,-2682,-4290,1183306,165734,1349040,198210,27761,225972
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
