0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment June 01-15, 2016","Net Investment June 01-15, 2016","Net Investment June 01-15, 2016","Net Investment June 01-15, 2016","Net Investment June 01-15, 2016","Net Investment June 01-15, 2016","AUC as on June 15, 2016","AUC as on June 15, 2016","AUC as on June 15, 2016","AUC as on June 15, 2016","AUC as on June 15, 2016","AUC as on June 15, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,124169,317,124487,18477,47,18524,186,0,186,28,0,28,615,0,615,92,0,92,125411,317,125728,18674,47,18721
2,Total Financial Services,424831,43483,468314,63216,6470,69686,18,-1795,-1777,3,-267,-264,270,-524,-253,40,-78,-38,424050,42826,466876,63141,6377,69517
2a,Banks,200021,2337,202358,29764,348,30111,-243,0,-243,-36,0,-36,191,24,215,28,4,32,201980,2358,204338,30075,351,30426
2b,Other Financial Services1,224810,41146,265956,33452,6123,39575,260,-1795,-1535,39,-267,-228,79,-548,-469,12,-82,-70,222070,40468,262539,33066,6026,39092
3,Capital Goods,110159,877,111036,16392,131,16523,2714,0,2714,404,0,404,1763,0,1763,262,0,262,113002,878,113880,16826,131,16957
4,Chemicals & Petrochemicals,26916,0,26916,4005,0,4005,148,0,148,22,0,22,-69,0,-69,-10,0,-10,26825,0,26825,3994,0,3994
5,Coal,14852,0,14852,2210,0,2210,-547,0,-547,-81,0,-81,165,0,165,25,0,25,15749,0,15749,2345,0,2345
6,Commercial Services & Supplies,4365,200,4565,650,30,679,6,0,6,1,0,1,202,0,202,30,0,30,4622,200,4822,688,30,718
7,Construction Materials,42221,1031,43252,6283,153,6436,187,0,187,28,0,28,403,-100,303,60,-15,45,44383,931,45314,6609,139,6747
8,Consumer Durables,5206,0,5206,775,0,775,18,0,18,3,0,3,28,0,28,4,0,4,5417,0,5417,807,0,807
9,Diversified2,3282,0,3282,488,0,488,76,0,76,11,0,11,-31,0,-31,-5,0,-5,3315,0,3315,494,0,494
10,Diversified Consumer Services,256,0,256,38,0,38,-2,0,-2,0,0,0,-7,0,-7,-1,0,-1,240,0,240,36,0,36
