0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,155342,317,0,155659,22253,45,0,22298,-777,0,0,-777,-111,0,0,-111,1151,0,0,1151,166,0,0,166,154084,317,0,154401,22150,46,0,22196
2,Total Financial Services,1118041,55057,4213,1177311,160165,7887,604,168656,6134,-1099,62,5097,879,-157,9,731,610,-212,-4,394,88,-30,-1,57,1095960,54797,4317,1155074,157546,7877,621,166044
2a,Banks,649049,7977,0,657026,92979,1143,0,94122,1686,10,0,1696,242,1,0,243,251,0,0,251,36,0,0,36,634542,7978,0,642520,91216,1147,0,92363
2b,Other Financial Services1,468992,47080,4213,520285,67185,6744,604,74533,4448,-1108,62,3402,637,-159,9,487,359,-212,-4,143,52,-30,-1,21,461419,46819,4317,512555,66330,6730,621,73681
3,Capital Goods,104685,303,0,104988,14997,43,0,15040,1853,0,0,1853,265,0,0,265,888,177,0,1065,128,25,0,153,103724,478,0,104202,14911,69,0,14980
4,Chemicals & Petrochemicals,46201,0,0,46201,6619,0,0,6619,454,0,0,454,65,0,0,65,-120,0,0,-120,-17,0,0,-17,45420,0,0,45420,6529,0,0,6529
5,Coal,13703,0,0,13703,1963,0,0,1963,319,0,0,319,46,0,0,46,171,0,0,171,25,0,0,25,14083,0,0,14083,2024,0,0,2024
6,Commercial Services & Supplies,7754,200,0,7954,1111,29,0,1140,28,0,0,28,4,0,0,4,8,0,0,8,1,0,0,1,7573,200,0,7773,1089,29,0,1118
7,Construction Materials,62230,578,0,62808,8915,83,0,8998,-818,0,0,-818,-117,0,0,-117,-407,0,0,-407,-59,0,0,-59,59258,578,0,59836,8518,83,0,8601
8,Consumer Durables,41807,0,0,41807,5989,0,0,5989,20,0,0,20,3,0,0,3,254,0,0,254,37,0,0,37,41736,0,0,41736,6000,0,0,6000
9,Diversified2,3881,0,0,3881,556,0,0,556,16,0,0,16,2,0,0,2,24,0,0,24,3,0,0,3,3771,0,0,3771,542,0,0,542
10,Diversified Consumer Services,3082,0,0,3082,441,0,0,441,-8,0,0,-8,-1,0,0,-1,27,0,0,27,4,0,0,4,3174,0,0,3174,456,0,0,456
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",103265,662,0,103927,14793,95,0,14888,53,0,0,53,8,0,0,8,-342,0,0,-342,-49,0,0,-49,102313,662,0,102975,14708,95,0,14803
13,Forest Materials,1238,335,0,1573,177,48,0,225,1,0,0,1,0,0,0,0,-9,0,0,-9,-1,0,0,-1,1173,335,0,1508,169,48,0,217
14,General Industrials,18784,385,0,19169,2691,55,0,2746,13,0,0,13,2,0,0,2,-22,0,0,-22,-3,0,0,-3,18177,385,0,18562,2613,55,0,2668
15,Hardware Technology & Equipment,41,0,0,41,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,6,0,0,6
16,Healthcare Equipment & Supplies,89,0,0,89,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,77,11,0,0,11
17,Healthcare Services,14724,0,0,14724,2109,0,0,2109,52,0,0,52,7,0,0,7,109,0,0,109,16,0,0,16,15747,0,0,15747,2264,0,0,2264
18,"Hotels, Restaurants & Tourism",12438,104,0,12542,1782,15,0,1797,-289,0,0,-289,-41,0,0,-41,11,0,0,11,2,0,0,2,11902,104,0,12006,1711,15,0,1726
19,Household & Personal Products,102811,0,0,102811,14728,0,0,14728,141,0,0,141,20,0,0,20,56,0,0,56,8,0,0,8,103181,0,0,103181,14832,0,0,14832
20,Insurance,40805,0,0,40805,5845,0,0,5845,993,0,0,993,142,0,0,142,521,0,0,521,75,0,0,75,40861,0,0,40861,5874,0,0,5874
21,Media,24048,174,0,24222,3445,25,0,3470,395,-2,0,393,57,0,0,57,-64,0,0,-64,-9,0,0,-9,22717,173,0,22890,3266,25,0,3291
22,Metals & Mining,49032,412,0,49444,7024,59,0,7083,67,0,0,67,10,0,0,10,185,0,0,185,27,0,0,27,50066,412,0,50478,7197,59,0,7256
23,Oil & Gas,267888,5859,0,273747,38376,839,0,39215,456,-64,0,392,65,-9,0,56,164,128,0,292,24,18,0,42,263771,5963,0,269734,37917,857,0,38774
24,Pharmaceuticals & Biotechnology,113052,950,0,114002,16195,136,0,16331,-1157,0,0,-1157,-166,0,0,-166,-917,0,0,-917,-132,0,0,-132,104091,950,0,105041,14963,137,0,15100
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,28989,584,0,29573,4153,84,0,4237,55,0,0,55,8,0,0,8,-181,0,0,-181,-26,0,0,-26,27240,583,0,27823,3916,84,0,4000
27,Retailing,28692,300,0,28992,4110,43,0,4153,83,0,0,83,12,0,0,12,-46,0,0,-46,-7,0,0,-7,28959,300,0,29259,4163,43,0,4206
28,Software & Services,358327,0,0,358327,51332,0,0,51332,-1881,0,0,-1881,-269,0,0,-269,-432,0,0,-432,-62,0,0,-62,360651,0,0,360651,51844,0,0,51844
29,Telecom Services,64161,1822,0,65983,9191,261,0,9452,-89,0,0,-89,-13,0,0,-13,132,-26,0,106,19,-4,0,15,64097,1802,0,65899,9214,259,0,9473
30,Telecommunications Equipment,183,0,0,183,26,0,0,26,2,0,0,2,0,0,0,0,5,0,0,5,1,0,0,1,180,0,0,180,26,0,0,26
31,"Textiles, Apparels & Accessories",44417,0,0,44417,6363,0,0,6363,-50,0,0,-50,-7,0,0,-7,-34,0,0,-34,-5,0,0,-5,45482,0,0,45482,6538,0,0,6538
32,Transportation,44928,699,0,45627,6436,100,0,6536,4,0,0,4,1,0,0,1,144,0,0,144,21,0,0,21,45189,699,0,45888,6496,100,0,6596
32 a,Airlines,10520,699,0,11219,1507,100,0,1607,142,0,0,142,20,0,0,20,-31,0,0,-31,-4,0,0,-4,10290,699,0,10989,1479,100,0,1579
32 b,Logistics,1913,0,0,1913,274,0,0,274,0,0,0,0,0,0,0,0,248,0,0,248,36,0,0,36,2065,0,0,2065,297,0,0,297
32 c,Marine Port & Services,19535,0,0,19535,2799,0,0,2799,-129,0,0,-129,-19,0,0,-19,-58,0,0,-58,-8,0,0,-8,20034,0,0,20034,2880,0,0,2880
32 d,Roads & Highways,2579,0,0,2579,370,0,0,370,22,0,0,22,3,0,0,3,-26,0,0,-26,-4,0,0,-4,2294,0,0,2294,330,0,0,330
