0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","AUC as on June 15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 01-15, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","Net Investment June 16-30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021","AUC as on June 30, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,201815,317,0,0,202132,27542,43,0,0,27585,1301,0,0,0,1301,177,0,0,0,177,1446,0,0,0,1446,194,0,0,0,194,200913,317,0,0,201230,27024,43,0,0,27067
2,Total Financial Services,1435763,22903,10597,0,1469263,195938,3126,1446,0,200510,4108,-1546,-110,0,2452,561,-211,-15,0,335,-1637,-1091,-74,0,-2802,-220,-147,-10,0,-377,1407853,22466,10814,0,1441133,189366,3022,1455,0,193843
2a,Banks,833277,6191,106,0,839574,113717,845,14,0,114576,1914,-68,0,0,1846,261,-9,0,0,252,-2199,217,0,0,-1982,-296,29,0,0,-267,821752,6008,106,0,827866,110531,808,14,0,111353
2b,Other Financial Services1,602485,16712,10491,0,629688,82221,2281,1432,0,85934,2194,-1478,-110,0,606,299,-202,-15,0,82,562,-1308,-74,0,-820,76,-176,-10,0,-110,586101,16457,10708,0,613266,78835,2214,1440,0,82489
3,Capital Goods,175494,143,10,0,175647,23950,19,1,0,23970,1602,0,0,0,1602,219,0,0,0,219,-1364,0,0,0,-1364,-184,0,0,0,-184,155881,143,10,0,156034,20967,19,1,0,20987
4,Chemicals & Petrochemicals,78522,15,170,0,78707,10716,2,23,0,10741,762,0,-330,0,432,104,0,-45,0,59,596,0,0,0,596,80,0,0,0,80,78212,15,170,0,78397,10520,2,23,0,10545
5,Coal,6511,0,0,0,6511,889,0,0,0,889,88,0,0,0,88,12,0,0,0,12,-60,0,0,0,-60,-8,0,0,0,-8,5952,0,0,0,5952,801,0,0,0,801
