0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,"AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto  Components,48506,0,48506,9911,0,9911,247,0,247,49,0,49,48590,0,48590,9675,0,9675
2,Total Financial  Services,271186,34306,305492,55411,7010,62421,1302,393,1695,259,78,338,277548,34487,312035,55264,6867,62131
2a,Banks,157879,12,157891,32259,2,32262,458,0,458,91,0,91,162711,12,162723,32398,2,32400
2b,Other  Financial Services2,113307,34294,147601,23152,7007,30159,845,393,1238,168,78,246,114837,34475,149312,22866,6864,29730
3,Capital  Goods,66955,400,67355,13681,82,13763,313,0,313,62,0,62,68824,400,69224,13704,80,13783
4,Chemicals  & Petrochemicals,8391,75,8466,1715,15,1730,6,0,6,1,0,1,8145,75,8220,1622,15,1637
5,Coal,11957,0,11957,2443,0,2443,142,0,142,28,0,28,12346,0,12346,2458,0,2458
6,Commercial  Services & Supplies,8672,0,8672,1772,0,1772,-62,0,-62,-12,0,-12,7704,0,7704,1534,0,1534
7,Construction  Materials,19678,60,19738,4021,12,4033,153,0,153,30,0,30,20624,60,20684,4107,12,4119
8,Consumer  Durables,7195,0,7195,1470,0,1470,43,0,43,8,0,8,7299,0,7299,1453,0,1453
9,Diversified3,2485,0,2485,508,0,508,-12,44,33,-2,9,6,2542,45,2587,506,9,515
10,Diversified  Consumer Services,702,0,702,143,0,143,-87,0,-87,-17,0,-17,626,0,626,125,0,125
11,"Food,  Beverages & Tobacco",45980,31,46011,9395,6,9401,457,-29,428,91,-6,85,47268,1,47269,9412,0,9412
12,Forest  Materials,420,0,420,86,0,86,7,0,7,1,0,1,421,0,421,84,0,84
13,General  Industrials,6587,0,6587,1346,0,1346,59,0,59,12,0,12,6764,0,6764,1347,0,1347
14,Hardware  Technology & Equipment,325,0,325,66,0,66,1,0,1,0,0,0,346,0,346,69,0,69
15,Healthcare  Equipment & Supplies,1958,0,1958,400,0,400,7,0,7,1,0,1,1954,0,1954,389,0,389
16,Healthcare  Services,2607,0,2607,533,0,533,650,0,650,129,0,129,3508,0,3508,699,0,699
17,"Hotels,  Restaurants & Tourism",4064,100,4164,830,20,851,32,0,32,6,0,6,4208,100,4308,838,20,858
18,Household  & Personal Products,29503,0,29503,6028,0,6028,109,0,109,22,0,22,30118,0,30118,5997,0,5997
19,Media,8889,58,8946,1816,12,1828,374,0,374,75,0,75,9572,58,9630,1906,11,1917
20,Metals  & Mining,46417,751,47168,9484,153,9638,37,118,155,7,24,31,45680,880,46560,9095,175,9271
21,Oil &  Gas,70778,10622,81400,14462,2170,16632,216,-916,-700,43,-182,-139,70035,9778,79813,13945,1947,15892
22,Pharmaceuticals  & Biotechnology,43815,169,43983,8953,34,8987,481,-2,479,96,0,95,45498,166,45664,9059,33,9092
23,Realty,17124,110,17234,3499,22,3521,-35,-55,-90,-7,-11,-18,16059,55,16114,3198,11,3209
24,Retailing,2389,0,2389,488,0,488,21,0,21,4,0,4,2347,0,2347,467,0,467
25,Software  & Services,123059,0,123059,25144,0,25144,1378,0,1378,274,0,274,122318,0,122318,24355,0,24355
26,Telecom  Services,29359,1400,30759,5999,286,6285,299,0,299,60,0,60,28911,1400,30311,5757,279,6035
27,Telecommunications  Equipment,143,0,143,29,0,29,0,0,0,0,0,0,137,0,137,27,0,27
28,"Textiles,  Apparels & Accessories",13901,0,13901,2840,0,2840,162,0,162,32,0,32,14119,0,14119,2811,0,2811
29,Transportation,10571,0,10571,2160,0,2160,64,0,64,13,0,13,10108,0,10108,2013,0,2013
29 a,Airlines,193,0,193,39,0,39,15,0,15,3,0,3,212,0,212,42,0,42
29 b,Logistics,859,0,859,176,0,176,10,0,10,2,0,2,875,0,875,174,0,174
29 c,Marine  Port & Services,3897,0,3897,796,0,796,5,0,5,1,0,1,3614,0,3614,720,0,720
29 d,Roads  & Highways,1249,0,1249,255,0,255,33,0,33,7,0,7,1355,0,1355,270,0,270
29 e,Shipping,933,0,933,191,0,191,7,0,7,1,0,1,960,0,960,191,0,191
29 f,Surface  Transportation,32,0,32,7,0,7,0,0,0,0,0,0,31,0,31,6,0,6
29 g,Transport  Related Services,3408,0,3408,696,0,696,-5,0,-5,-1,0,-1,3062,0,3062,610,0,610
30,Utilities4,39174,394,39568,8004,81,8085,-98,-5,-103,-20,-1,-21,39350,389,39739,7835,77,7913
31,Sovereign,0,63910,63910,0,13059,13059,0,-1630,-1630,0,-325,-325,0,56763,56763,0,11302,11302
32,Others1,9907,49014,58921,2024,10015,12039,716,57,773,143,11,154,11313,53373,64687,2253,10627,12880
,Grand Total,952697,161399,1114096,194663,32978,227642,6982,-2026,4956,1390,-403,987,964285,158030,1122315,192003,31466,223469
1AUC of Top 10 companies under Others Category in Debt is  as below,1AUC of Top 10 companies under Others Category in Debt is  as below,1AUC of Top 10 companies under Others Category in Debt is  as below,1AUC of Top 10 companies under Others Category in Debt is  as below,1AUC of Top 10 companies under Others Category in Debt is  as below,,,,,,,,,,,,,,,
Sr.  No.,Companies,"As on Mar  15, 2012 in INR Cr.",Companies,"As on Feb  29, 2012 in INR Cr.",,,,,,,,,,,,,,,
1,Exim Bank,10035,Exim Bank,10125,,,,,,,,,,,,,,,
2,NABARD,9595,NABARD,9620,,,,,,,,,,,,,,,
3,National Housing Bank,4947,National Ho,5147,,,,,,,,,,,,,,,
4,SIDBI,3185,SIDBI,3560,,,,,,,,,,,,,,,
5,J.P.MORGAN SEC CP,2000,J.P.MORG,1910,,,,,,,,,,,,,,,
6,SISTEMA SHYAM TELESER,1280,SISTEMA,1280,,,,,,,,,,,,,,,
7,VODAFONE ESSAR,900,IRFC,865,,,,,,,,,,,,,,,
8,Lodha Developers Limited,825,ICICI PRU,791,,,,,,,,,,,,,,,
9,BARCLAYS INVESTMENTS AND LOANS INDIA LTD CP,780,BARCLAY,780,,,,,,,,,,,,,,,
10,ICICI  PRUDENTIAL,750,AIRPORT,600,,,,,,,,,,,,,,,
,Total,34298,,34679,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
"2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","2 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,
