0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","AUC as on February 29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment February 16-29, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","Net Investment March 01-15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024","AUC as on March 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,451765,133,11,0,451909,54479,16,1,0,54496,3003,0,0,0,3003,362,0,0,0,362,3697,-1,0,0,3696,446,0,0,0,446,438942,132,11,0,439085,52954,16,1,0,52971
2,Capital Goods,292549,814,29,0,293392,35279,98,4,0,35381,2985,0,0,0,2985,360,0,0,0,360,2838,0,0,0,2838,342,0,0,0,342,284568,814,29,0,285411,34330,98,4,0,34432
3,Chemicals,95726,0,615,0,96341,11544,0,74,0,11618,-1,0,0,0,-1,0,0,0,0,0,45,0,0,0,45,5,0,0,0,5,96548,0,615,0,97163,11647,0,74,0,11721
4,Construction,136492,407,2178,0,139077,16460,49,263,0,16772,-243,0,0,0,-243,-29,0,0,0,-29,633,-18,-2178,106,-1457,76,-2,-263,13,-176,137120,388,0,112,137620,16542,47,0,13,16602
5,Construction Materials,116166,33,60,0,116259,14009,4,7,0,14020,221,0,0,0,221,27,0,0,0,27,-271,-864,-496,0,-1631,-33,-104,-60,0,-197,112688,25,60,0,112773,13595,3,7,0,13605
6,Consumer Durables,196896,0,0,0,196896,23744,0,0,0,23744,931,0,0,0,931,112,0,0,0,112,-167,0,0,0,-167,-20,0,0,0,-20,193147,0,0,0,193147,23301,0,0,0,23301
7,Consumer Services,218267,1109,1086,0,220462,26321,134,131,0,26586,4497,0,0,0,4497,542,0,0,0,542,4117,0,0,0,4117,497,0,0,0,497,218516,1109,1086,0,220711,26362,134,131,0,26627
