0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on March 15, 2017","AUC as on March 15, 2017","AUC as on March 15, 2017","AUC as on March 15, 2017","AUC as on March 15, 2017","AUC as on March 15, 2017","Net Investment March 01-15, 2017","Net Investment March 01-15, 2017","Net Investment March 01-15, 2017","Net Investment March 01-15, 2017","Net Investment March 01-15, 2017","Net Investment March 01-15, 2017","Net Investment March 16-31, 2017","Net Investment March 16-31, 2017","Net Investment March 16-31, 2017","Net Investment March 16-31, 2017","Net Investment March 16-31, 2017","Net Investment March 16-31, 2017","AUC as on March 31, 2017","AUC as on March 31, 2017","AUC as on March 31, 2017","AUC as on March 31, 2017","AUC as on March 31, 2017","AUC as on March 31, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,152478,317,152795,23274,48,23322,688,0,688,105,0,105,253,0,253,39,0,39,151083,317,151401,23301,49,23350
2,Total Financial Services,521472,35921,557393,79596,5483,85079,4302,481,4783,657,73,730,3403,3137,6540,525,484,1009,546654,39101,585755,84310,6030,90340
2a,Banks,258837,3853,262691,39508,588,40097,2940,40,2980,449,6,455,975,319,1295,150,49,200,268114,4191,272305,41351,646,41997
2b,Other Financial Services1,262635,32068,294703,40088,4895,44983,1362,441,1803,208,67,275,2428,2818,5245,374,435,809,278540,34910,313450,42959,5384,48343
3,Capital Goods,123278,847,124125,18817,129,18946,129,0,129,20,0,20,736,0,736,114,0,114,124392,847,125240,19185,131,19316
4,Chemicals & Petrochemicals,31806,0,31806,4855,0,4855,-98,0,-98,-15,0,-15,-246,0,-246,-38,0,-38,32594,0,32594,5027,0,5027
5,Coal,12478,0,12478,1905,0,1905,-205,0,-205,-31,0,-31,-480,0,-480,-74,0,-74,11945,0,11945,1842,0,1842
6,Commercial Services & Supplies,5479,200,5679,836,31,867,57,0,57,9,0,9,-309,0,-309,-48,0,-48,5376,200,5576,829,31,860
7,Construction Materials,52543,649,53192,8020,99,8119,558,0,558,85,0,85,345,0,345,53,0,53,53884,649,54533,8310,100,8411
8,Consumer Durables,3621,0,3621,553,0,553,-29,0,-29,-4,0,-4,8,0,8,1,0,1,4051,0,4051,625,0,625
9,Diversified2,3729,0,3729,569,0,569,45,0,45,7,0,7,183,0,183,28,0,28,4053,0,4053,625,0,625
10,Diversified Consumer Services,266,0,266,41,0,41,-1,0,-1,0,0,0,-3,0,-3,0,0,0,279,0,279,43,0,43
11,"Food, Beverages & Tobacco",96116,89,96205,14671,14,14684,-548,0,-548,-84,0,-84,252,0,252,39,0,39,100291,89,100380,15468,14,15482
12,Forest Materials,1351,0,1351,206,0,206,15,0,15,2,0,2,24,0,24,4,0,4,1418,0,1418,219,0,219
13,General Industrials,18575,385,18960,2835,59,2894,87,0,87,13,0,13,242,0,242,37,0,37,19490,385,19875,3006,59,3065
14,Hardware Technology & Equipment,36,0,36,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,37,0,37,6,0,6
15,Healthcare Equipment & Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Healthcare Services,10024,0,10024,1530,0,1530,1128,0,1128,172,0,172,121,0,121,19,0,19,9869,0,9869,1522,0,1522
17,"Hotels, Restaurants & Tourism",6138,125,6263,937,19,956,106,0,106,16,0,16,100,0,100,15,0,15,6663,125,6788,1028,19,1047
18,Household & Personal Products,73926,0,73926,11284,0,11284,34,0,34,5,0,5,680,0,680,105,0,105,75932,0,75932,11711,0,11711
19,Media,36340,743,37083,5547,113,5660,201,0,201,31,0,31,-130,7,-123,-20,1,-19,37157,733,37890,5731,113,5844
20,Metals & Mining,42621,518,43139,6506,79,6585,1679,0,1679,256,0,256,-827,-10,-837,-128,-2,-129,42940,508,43448,6623,78,6701
21,Oil & Gas,161803,34,161836,24697,5,24702,2713,0,2713,414,0,414,526,0,526,81,0,81,164767,34,164801,25412,5,25417
22,Pharmaceuticals & Biotechnology,131787,0,131787,20116,0,20116,-991,0,-991,-151,0,-151,-397,0,-397,-61,0,-61,129496,0,129496,19972,0,19972
23,Realty,16302,575,16877,2488,88,2576,142,0,142,22,0,22,138,0,138,21,0,21,17432,575,18007,2689,89,2777
24,Retailing,6323,0,6323,965,0,965,25,0,25,4,0,4,58,0,58,9,0,9,6415,0,6415,989,0,989
25,Software & Services,232887,0,232887,35547,0,35547,1103,0,1103,168,0,168,2453,0,2453,378,0,378,235314,0,235314,36292,0,36292
26,Telecom Services,37735,1939,39674,5760,296,6056,1220,0,1220,186,0,186,-186,26,-160,-29,4,-25,34356,1964,36320,5299,303,5602
27,Telecommunications Equipment,305,0,305,46,0,46,0,0,0,0,0,0,1,0,1,0,0,0,293,0,293,45,0,45
28,"Textiles, Apparels & Accessories",24781,0,24781,3783,0,3783,131,0,131,20,0,20,184,0,184,28,0,28,25237,0,25237,3892,0,3892
29,Transportation,32979,719,33699,5034,110,5144,61,0,61,9,0,9,290,0,290,45,0,45,35212,719,35931,5431,111,5542
29 a,Airlines,320,699,1019,49,107,156,3,0,3,0,0,0,60,0,60,9,0,9,439,699,1138,68,108,176
29 b,Logistics,2608,1,2609,398,0,398,-14,0,-14,-2,0,-2,4,0,4,1,0,1,2657,1,2658,410,0,410
29 c,Marine Port & Services,19129,0,19129,2920,0,2920,57,0,57,9,0,9,176,0,176,27,0,27,20965,0,20965,3233,0,3233
29 d,Roads & Highways,2774,20,2794,423,3,426,26,0,26,4,0,4,21,0,21,3,0,3,2726,20,2746,420,3,423
29 e,Shipping,1459,0,1459,223,0,223,3,0,3,0,0,0,-3,0,-3,0,0,0,1624,0,1624,250,0,250
29 f,Surface Transportation,39,0,39,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,41,0,41,6,0,6
29 g,Transport Related Services,6649,0,6649,1015,0,1015,-15,0,-15,-2,0,-2,30,0,30,5,0,5,6760,0,6760,1043,0,1043
30,Utilities3,79602,5858,85460,12150,894,13044,-535,-43,-578,-82,-7,-88,-16,-285,-301,-2,-44,-46,84505,5589,90093,13033,862,13895
31,Sovereign,0,158912,158912,0,24256,24256,0,852,852,0,130,130,0,18675,18675,0,2880,2880,0,175661,175661,0,27092,27092
32,Others4,390086,104769,494855,59542,15992,75534,1847,-565,1282,282,-86,196,9638,3081,12719,1486,475,1962,409528,107567,517095,63161,16590,79751
,Grand Total,2306870,312601,2619471,352115,47715,399830,13862,725,14587,2116,111,2227,17045,24630,41674,2629,3799,6427,2370666,335063,2705729,365626,51676,417302
