0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,213564,347,0,213911,32888,53,0,32942,-644,0,0,-644,-99,0,0,-99,-492,0,0,-492,-76,0,0,-76,211034,347,0,211381,32445,53,0,32498
2,Total Financial Services,921017,66140,0,987157,141833,10185,0,152018,2549,-2492,0,57,392,-384,0,9,264,842,0,1106,41,129,0,170,908861,67144,0,976004,139730,10323,0,150053
2a,Banks,519793,7580,0,527373,80046,1167,0,81214,363,-315,0,48,56,-49,0,7,-974,-188,0,-1162,-150,-29,0,-179,508425,7379,0,515803,78166,1134,0,79301
2b,Other Financial Services1,401224,58560,0,459784,61787,9018,0,70805,2186,-2177,0,9,337,-335,0,1,1239,1030,0,2269,190,158,0,349,400436,59765,0,460201,61564,9188,0,70752
3,Capital Goods,119712,1203,0,120915,18439,185,0,18620,237,0,0,237,37,0,0,37,539,0,0,539,83,0,0,83,116051,1203,0,117255,17842,185,0,18027
4,Chemicals & Petrochemicals,37491,0,0,37491,5773,0,0,5773,24,0,0,24,4,0,0,4,160,0,0,160,25,0,0,25,38008,0,0,38008,5843,0,0,5843
5,Coal,10316,0,0,10316,1589,0,0,1589,-323,0,0,-323,-50,0,0,-50,-8,0,0,-8,-1,0,0,-1,9832,0,0,9832,1512,0,0,1512
