0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 01-15, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","Net Investment March 16-31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020","AUC as on March 31, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,118704,317,0,119021,16026,43,0,16069,-1050,0,0,-1050,-142,0,0,-142,-2535,0,0,-2535,-336,0,0,-336,88463,317,0,88780,11735,42,0,11777
2,Total Financial Services,952956,41334,0,994290,128657,5580,0,134237,-9004,-890,0,-9894,-1216,-120,0,-1336,-10952,-2707,0,-13659,-1453,-359,0,-1812,709218,38844,0,748062,94078,5153,0,99231
2a,Banks,548148,8488,0,556636,74005,1146,0,75151,-7313,-19,0,-7332,-987,-3,0,-990,-6397,-114,0,-6511,-849,-15,0,-864,411179,8379,0,419558,54543,1111,0,55654
2b,Other Financial Services1,404808,32845,0,437653,54652,4434,0,59086,-1691,-871,0,-2562,-228,-118,0,-346,-4555,-2594,0,-7149,-604,-344,0,-948,298039,30465,0,328504,39535,4041,0,43576
3,Capital Goods,71466,464,0,71930,9649,63,0,9712,-627,0,0,-627,-85,0,0,-85,-1881,0,0,-1881,-250,0,0,-250,56250,463,0,56713,7462,61,0,7523
4,Chemicals & Petrochemicals,36074,0,0,36074,4870,0,0,4870,85,0,0,85,11,0,0,11,-308,0,0,-308,-41,0,0,-41,30178,0,0,30178,4003,0,0,4003
5,Coal,7772,0,0,7772,1049,0,0,1049,-226,0,0,-226,-31,0,0,-31,67,0,0,67,9,0,0,9,7132,0,0,7132,946,0,0,946
6,Commercial Services & Supplies,6637,0,0,6637,896,0,0,896,-16,0,0,-16,-2,0,0,-2,38,0,0,38,5,0,0,5,5471,0,0,5471,726,0,0,726
7,Construction Materials,48582,409,0,48991,6559,55,0,6614,-1019,0,0,-1019,-138,0,0,-138,-1783,0,0,-1783,-237,0,0,-237,38797,409,0,39206,5146,54,0,5200
8,Consumer Durables,50188,0,0,50188,6776,0,0,6776,557,0,0,557,75,0,0,75,-483,0,0,-483,-64,0,0,-64,45909,0,0,45909,6090,0,0,6090
9,Diversified2,6100,0,0,6100,824,0,0,824,-112,0,0,-112,-15,0,0,-15,-46,0,0,-46,-6,0,0,-6,4594,0,0,4594,609,0,0,609
10,Diversified Consumer Services,2532,0,0,2532,342,0,0,342,17,0,0,17,2,0,0,2,-15,0,0,-15,-2,0,0,-2,1900,0,0,1900,252,0,0,252
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",86272,673,0,86945,11647,91,0,11738,-953,0,0,-953,-129,0,0,-129,-1200,-11,0,-1211,-159,-2,0,-161,84126,662,0,84788,11159,88,0,11247
13,Forest Materials,686,434,0,1120,93,59,0,152,-4,0,0,-4,-1,0,0,-1,-6,0,0,-6,-1,0,0,-1,560,434,0,994,74,58,0,132
14,General Industrials,12569,0,0,12569,1697,0,0,1697,-99,0,0,-99,-13,0,0,-13,-58,0,0,-58,-8,0,0,-8,9441,0,0,9441,1252,0,0,1252
15,Hardware Technology & Equipment,41,0,0,41,6,0,0,6,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,0,29,0,0,29,4,0,0,4
16,Healthcare Equipment & Supplies,73,0,0,73,10,0,0,10,-1,0,0,-1,0,0,0,0,-3,0,0,-3,0,0,0,0,61,0,0,61,8,0,0,8
17,Healthcare Services,20344,0,0,20344,2747,0,0,2747,-37,0,0,-37,-5,0,0,-5,-116,0,0,-116,-15,0,0,-15,16474,0,0,16474,2185,0,0,2185
18,"Hotels, Restaurants & Tourism",11411,104,0,11515,1541,14,0,1555,-87,0,0,-87,-12,0,0,-12,-475,0,0,-475,-63,0,0,-63,9271,104,0,9375,1230,14,0,1244
19,Household & Personal Products,99263,0,0,99263,13401,0,0,13401,-585,0,0,-585,-79,0,0,-79,-815,0,0,-815,-108,0,0,-108,105308,0,0,105308,13969,0,0,13969
20,Insurance,63533,0,0,63533,8577,0,0,8577,-203,0,0,-203,-27,0,0,-27,771,0,0,771,102,0,0,102,57078,0,0,57078,7571,0,0,7571
21,Media,17387,122,0,17509,2347,16,0,2363,106,-66,0,40,14,-9,0,5,-218,-5,0,-223,-29,-1,0,-30,12257,115,0,12372,1626,15,0,1641
22,Metals & Mining,30397,558,0,30955,4104,75,0,4179,-592,0,0,-592,-80,0,0,-80,-959,0,0,-959,-127,0,0,-127,22566,558,0,23124,2993,74,0,3067
23,Oil & Gas,216216,4110,0,220326,29191,555,0,29746,-4382,-163,0,-4545,-592,-22,0,-614,-5382,-419,0,-5801,-714,-56,0,-770,206943,3643,0,210586,27451,483,0,27934
24,Pharmaceuticals & Biotechnology,93099,1750,0,94849,12569,236,0,12805,-553,0,0,-553,-75,0,0,-75,-1189,0,0,-1189,-158,0,0,-158,89291,1735,0,91026,11844,230,0,12074
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,25600,1165,0,26765,3456,157,0,3613,-208,0,0,-208,-28,0,0,-28,-28,0,0,-28,-4,0,0,-4,19275,1165,0,20440,2557,155,0,2712
27,Retailing,36522,150,0,36672,4931,20,0,4951,-255,0,0,-255,-34,0,0,-34,-285,0,0,-285,-38,0,0,-38,31849,150,0,31999,4225,20,0,4245
28,Software & Services,287591,0,0,287591,38827,0,0,38827,-2589,0,0,-2589,-350,0,0,-350,-3592,0,0,-3592,-476,0,0,-476,273198,0,0,273198,36240,0,0,36240
