0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,156798,317,0,157115,22452,45,0,22497,902,0,0,902,129,0,0,129,-301,0,0,-301,-43,0,0,-43,150333,317,0,150650,21412,45,0,21457
2,Total Financial Services,1047037,57467,1981,1106485,149926,8229,284,158439,1496,-356,-12,1128,214,-51,-2,161,-1654,-1300,2195,-759,-236,-185,313,-108,1008796,56098,4181,1069075,143685,7990,596,152271
2a,Banks,617345,7983,0,625328,88398,1143,0,89541,876,-36,0,840,125,-5,0,120,-1211,-19,0,-1230,-173,-3,0,-176,593456,7961,0,601417,84527,1134,0,85661
2b,Other Financial Services1,429692,49483,1981,481156,61528,7086,284,68898,620,-320,-12,288,89,-46,-2,41,-442,-1280,2195,473,-63,-182,313,68,415340,48137,4181,467658,59158,6856,596,66610
3,Capital Goods,99834,313,0,100147,14295,45,0,14340,-218,0,0,-218,-31,0,0,-31,-482,-10,0,-492,-69,-1,0,-70,92612,303,0,92915,13191,43,0,13234
4,Chemicals & Petrochemicals,44079,0,0,44079,6312,0,0,6312,98,0,0,98,14,0,0,14,-108,0,0,-108,-15,0,0,-15,42686,0,0,42686,6080,0,0,6080
5,Coal,13213,0,0,13213,1892,0,0,1892,1635,0,0,1635,234,0,0,234,211,0,0,211,30,0,0,30,12664,0,0,12664,1804,0,0,1804
6,Commercial Services & Supplies,7419,200,0,7619,1062,29,0,1091,-21,0,0,-21,-3,0,0,-3,17,0,0,17,2,0,0,2,6551,200,0,6751,933,28,0,961
7,Construction Materials,61785,578,0,62363,8847,83,0,8930,-395,49,0,-346,-57,7,0,-50,-681,0,0,-681,-97,0,0,-97,57553,578,0,58131,8197,82,0,8279
8,Consumer Durables,42426,0,0,42426,6075,0,0,6075,285,0,0,285,41,0,0,41,-191,0,0,-191,-27,0,0,-27,38768,0,0,38768,5522,0,0,5522
9,Diversified2,3896,0,0,3896,558,0,0,558,12,0,0,12,2,0,0,2,36,0,0,36,5,0,0,5,3863,0,0,3863,550,0,0,550
10,Diversified Consumer Services,2957,0,0,2957,423,0,0,423,0,0,0,0,0,0,0,0,43,0,0,43,6,0,0,6,2965,0,0,2965,422,0,0,422
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",107817,662,0,108479,15438,95,0,15533,324,0,0,324,46,0,0,46,-519,0,0,-519,-74,0,0,-74,103730,662,0,104392,14774,94,0,14868
13,Forest Materials,1210,335,0,1545,173,48,0,221,-1,0,0,-1,0,0,0,0,-7,0,0,-7,-1,0,0,-1,1136,335,0,1471,162,48,0,210
14,General Industrials,18512,385,0,18897,2651,55,0,2706,-16,0,0,-16,-2,0,0,-2,15,0,0,15,2,0,0,2,17444,385,0,17829,2485,55,0,2540
