0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","AUC as on April 30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment April 16-30, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","Net Investment May 01-15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021","AUC as on May 15, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,181702,317,0,0,182019,24547,43,0,0,24590,-926,0,0,0,-926,-125,0,0,0,-125,119,0,0,0,119,16,0,0,0,16,182930,317,0,0,183247,24932,43,0,0,24975
2,Total Financial Services,1326403,25994,12565,0,1364962,179188,3512,1697,0,184397,-2480,-677,-31,0,-3188,-335,-91,-4,0,-430,-1890,-631,-950,0,-3471,-258,-86,-129,0,-473,1308628,25233,11659,0,1345520,178355,3439,1589,0,183383
2a,Banks,779266,6316,106,0,785688,105273,853,14,0,106140,-1730,75,0,0,-1655,-234,10,0,0,-224,-1526,-159,0,0,-1685,-208,-22,0,0,-230,761479,6202,106,0,767787,103783,845,14,0,104642
2b,Other Financial Services1,547137,19679,12460,0,579276,73914,2658,1683,0,78255,-750,-752,-31,0,-1533,-101,-102,-4,0,-207,-364,-472,-950,0,-1786,-50,-64,-129,0,-243,547149,19030,11553,0,577732,74572,2594,1575,0,78741
3,Capital Goods,154076,168,60,0,154304,20815,23,8,0,20846,69,0,0,0,69,9,0,0,0,9,519,0,0,0,519,71,0,0,0,71,161151,168,60,0,161379,21964,23,8,0,21995
4,Chemicals & Petrochemicals,65435,0,480,0,65915,8840,0,65,0,8905,-159,0,0,0,-159,-21,0,0,0,-21,-271,0,0,0,-271,-37,0,0,0,-37,69973,0,480,0,70453,9537,0,65,0,9602
5,Coal,5416,0,0,0,5416,732,0,0,0,732,23,0,0,0,23,3,0,0,0,3,123,0,0,0,123,17,0,0,0,17,6040,0,0,0,6040,823,0,0,0,823
6,Commercial Services & Supplies,30368,0,0,0,30368,4103,0,0,0,4103,-434,0,0,0,-434,-59,0,0,0,-59,-170,0,0,0,-170,-23,0,0,0,-23,31836,0,0,0,31836,4339,0,0,0,4339
7,Construction Materials,83912,499,200,0,84611,11336,67,27,0,11430,-824,0,0,0,-824,-111,0,0,0,-111,110,0,-50,0,60,15,0,-7,0,8,84246,499,150,0,84895,11482,68,20,0,11570
8,Consumer Durables,92560,0,0,0,92560,12504,0,0,0,12504,-329,0,0,0,-329,-44,0,0,0,-44,161,0,0,0,161,22,0,0,0,22,96773,0,0,0,96773,13189,0,0,0,13189
9,Diversified2,9946,1149,535,0,11630,1344,155,72,0,1571,-103,0,0,0,-103,-14,0,0,0,-14,-24,0,0,0,-24,-3,0,0,0,-3,9704,1149,535,0,11388,1323,157,73,0,1553
10,Diversified Consumer Services,2784,0,0,0,2784,376,0,0,0,376,-37,0,0,0,-37,-5,0,0,0,-5,-12,0,0,0,-12,-2,0,0,0,-2,2723,0,0,0,2723,371,0,0,0,371
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",108694,212,0,0,108906,14684,29,0,0,14713,329,0,0,0,329,44,0,0,0,44,396,0,0,0,396,54,0,0,0,54,112996,212,0,0,113208,15400,29,0,0,15429
13,Forest Materials,1408,335,79,0,1822,190,45,11,0,246,-4,0,0,0,-4,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1438,335,79,0,1852,196,46,11,0,253
14,General Industrials,28854,55,0,0,28909,3898,7,0,0,3905,-154,0,0,0,-154,-21,0,0,0,-21,-18,0,0,0,-18,-3,0,0,0,-3,29895,55,0,0,29950,4074,7,0,0,4081
15,Hardware Technology & Equipment,39,0,0,0,39,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,42,0,0,0,42,6,0,0,0,6
16,Healthcare Equipment & Supplies,1326,0,0,0,1326,179,0,0,0,179,-8,0,0,0,-8,-1,0,0,0,-1,3,0,0,0,3,0,0,0,0,0,1381,0,0,0,1381,188,0,0,0,188
17,Healthcare Services,46607,0,0,0,46607,6296,0,0,0,6296,-269,0,0,0,-269,-36,0,0,0,-36,-694,0,0,0,-694,-95,0,0,0,-95,45286,0,0,0,45286,6172,0,0,0,6172
18,"Hotels, Restaurants & Tourism",22823,100,0,0,22923,3083,14,0,0,3097,137,0,0,0,137,19,0,0,0,19,4,0,0,0,4,1,0,0,0,1,22363,100,0,0,22463,3048,14,0,0,3062
19,Household & Personal Products,148088,0,0,0,148088,20006,0,0,0,20006,690,0,0,0,690,93,0,0,0,93,337,0,0,0,337,46,0,0,0,46,155517,0,0,0,155517,21196,0,0,0,21196
20,Insurance,101313,87,0,0,101400,13687,12,0,0,13699,-273,0,0,0,-273,-37,0,0,0,-37,-2476,0,0,0,-2476,-338,0,0,0,-338,102289,87,0,0,102376,13941,12,0,0,13953
21,Media,19909,53,230,0,20192,2690,7,31,0,2728,-39,0,0,0,-39,-5,0,0,0,-5,-463,0,0,0,-463,-63,0,0,0,-63,20028,54,230,0,20312,2730,7,31,0,2768
22,Metals & Mining,92968,449,72,0,93489,12559,61,10,0,12630,-3237,0,0,0,-3237,-437,0,0,0,-437,520,0,0,0,520,71,0,0,0,71,97842,449,72,0,98363,13335,61,10,0,13406
23,Oil & Gas,393319,2018,143,0,395480,53135,273,19,0,53427,-1653,0,0,0,-1653,-223,0,0,0,-223,-677,-243,0,0,-920,-93,-33,0,0,-126,386645,1783,143,0,388571,52697,243,19,0,52959
24,Pharmaceuticals & Biotechnology,167954,0,0,0,167954,22689,0,0,0,22689,-499,0,0,0,-499,-67,0,0,0,-67,-286,0,0,0,-286,-39,0,0,0,-39,171607,0,0,0,171607,23389,0,0,0,23389
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,40049,26,103,0,40178,5410,3,14,0,5427,1716,-106,106,0,1716,232,-14,14,0,232,428,0,0,0,428,58,0,0,0,58,39102,26,104,0,39232,5329,3,14,0,5346
27,Retailing,59408,210,0,0,59618,8026,28,0,0,8054,-216,0,0,0,-216,-29,0,0,0,-29,-587,0,0,0,-587,-80,0,0,0,-80,55767,210,0,0,55977,7601,29,0,0,7630
28,Software & Services,545666,0,340,0,546006,73716,0,46,0,73762,2078,0,340,0,2418,281,0,46,0,327,-2076,0,0,0,-2076,-283,0,0,0,-283,540000,0,340,0,540340,73597,0,46,0,73643
29,Telecom Services,86822,297,0,0,87119,11729,40,0,0,11769,168,0,0,0,168,23,0,0,0,23,-136,-27,0,0,-163,-19,-4,0,0,-23,88588,270,0,0,88858,12074,37,0,0,12111
30,Telecommunications Equipment,102,0,0,0,102,14,0,0,0,14,-2,0,0,0,-2,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,135,0,0,0,135,18,0,0,0,18
31,"Textiles, Apparels & Accessories",43302,0,0,0,43302,5850,0,0,0,5850,-113,0,0,0,-113,-15,0,0,0,-15,-364,0,0,0,-364,-50,0,0,0,-50,40692,0,0,0,40692,5546,0,0,0,5546
32,Transportation,56686,1399,2928,0,61013,7658,189,396,0,8243,-249,275,0,0,26,-34,37,0,0,3,275,0,0,0,275,38,0,0,0,38,58038,1399,2928,0,62365,7910,191,399,0,8500
32 a,Airlines,12078,699,0,0,12777,1632,94,0,0,1726,-3,0,0,0,-3,0,0,0,0,0,113,0,0,0,113,15,0,0,0,15,12573,699,0,0,13272,1714,95,0,0,1809
32 b,Logistics,2302,0,0,0,2302,311,0,0,0,311,-8,0,0,0,-8,-1,0,0,0,-1,-54,0,0,0,-54,-7,0,0,0,-7,2421,0,0,0,2421,330,0,0,0,330
32 c,Marine Port & Services,26579,150,0,0,26729,3591,20,0,0,3611,-256,0,0,0,-256,-35,0,0,0,-35,28,0,0,0,28,4,0,0,0,4,26780,150,0,0,26930,3650,20,0,0,3670
32 d,Roads & Highways,2353,550,2928,0,5831,318,74,396,0,788,-39,275,0,0,236,-5,37,0,0,32,-60,0,0,0,-60,-8,0,0,0,-8,2255,550,2928,0,5733,307,75,399,0,781
32 e,Shipping,1070,0,0,0,1070,145,0,0,0,145,28,0,0,0,28,4,0,0,0,4,105,0,0,0,105,14,0,0,0,14,1452,0,0,0,1452,198,0,0,0,198
32 f,Surface Transportation,40,0,0,0,40,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,40,0,0,0,40,6,0,0,0,6
32 g,Transport Related Services,8821,0,0,0,8821,1192,0,0,0,1192,3,0,0,0,3,0,0,0,0,0,105,0,0,0,105,14,0,0,0,14,8691,0,0,0,8691,1184,0,0,0,1184
32 h,Airport Services,3442,0,0,0,3442,465,0,0,0,465,25,0,0,0,25,3,0,0,0,3,39,0,0,0,39,5,0,0,0,5,3826,0,0,0,3826,521,0,0,0,521
33,Utilities3,111444,1935,250,0,113629,15055,261,34,0,15350,405,-56,0,0,349,55,-8,0,0,47,64,0,0,0,64,9,0,0,0,9,117695,1935,250,0,119880,16041,264,34,0,16339
34,Sovereign,0,144694,3362,0,148056,0,19547,454,0,20001,0,519,161,0,680,0,70,22,0,92,0,1590,-121,0,1469,0,217,-16,0,201,0,146455,3244,0,149699,0,19961,442,0,20403
35,Others4,22892,88819,85535,25934,223180,3093,11999,11555,3503,30150,564,933,-754,634,1377,76,126,-102,86,186,653,163,245,951,2012,90,22,33,130,275,23740,89456,88411,28144,229751,3236,12192,12050,3836,31314
,Grand Total,4052276,268818,106882,25934,4453910,547433,36315,14439,3503,601690,-5829,889,-178,634,-4484,-787,120,-24,86,-605,-6427,851,-876,951,-5501,-876,116,-119,130,-749,4065092,270192,108684,28144,4472112,554038,36825,14813,3836,609512
