0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on May 15, 2016","AUC as on May 15, 2016","AUC as on May 15, 2016","AUC as on May 15, 2016","AUC as on May 15, 2016","AUC as on May 15, 2016","Net Investment May 01-15, 2016","Net Investment May 01-15, 2016","Net Investment May 01-15, 2016","Net Investment May 01-15, 2016","Net Investment May 01-15, 2016","Net Investment May 01-15, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","Net Investment May 16-31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016","AUC as on May 31, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,118559,270,118829,17759,40,17799,-379,0,-379,-57,0,-57,186,0,186,28,0,28,124169,317,124487,18477,47,18524
2,Total Financial Services,404641,45070,449712,60611,6751,67362,-722,-1113,-1836,-108,-167,-275,18,-1795,-1777,3,-267,-264,424831,43483,468314,63216,6470,69686
2a,Banks,191651,2339,193989,28707,350,29057,-400,221,-180,-60,33,-27,-243,0,-243,-36,0,-36,200021,2337,202358,29764,348,30111
2b,Other Financial Services1,212991,42732,255723,31904,6401,38304,-322,-1334,-1656,-48,-200,-248,260,-1795,-1535,39,-267,-228,224810,41146,265956,33452,6123,39575
3,Capital Goods,100076,877,100953,14990,131,15122,517,0,517,77,0,77,2714,0,2714,404,0,404,110159,877,111036,16392,131,16523
4,Chemicals & Petrochemicals,25779,0,25779,3861,0,3861,153,0,153,23,0,23,148,0,148,22,0,22,26916,0,26916,4005,0,4005
5,Coal,14759,0,14759,2211,0,2211,-181,0,-181,-27,0,-27,-547,0,-547,-81,0,-81,14852,0,14852,2210,0,2210
6,Commercial Services & Supplies,4275,200,4475,640,30,670,-26,0,-26,-4,0,-4,6,0,6,1,0,1,4365,200,4565,650,30,679
7,Construction Materials,41123,1031,42154,6160,154,6314,-29,24,-5,-4,4,-1,187,0,187,28,0,28,42221,1031,43252,6283,153,6436
8,Consumer Durables,5083,0,5083,761,0,761,-29,0,-29,-4,0,-4,18,0,18,3,0,3,5206,0,5206,775,0,775
9,Diversified2,3113,0,3113,466,0,466,-15,0,-15,-2,0,-2,76,0,76,11,0,11,3282,0,3282,488,0,488
10,Diversified Consumer Services,266,0,266,40,0,40,0,0,0,0,0,0,-2,0,-2,0,0,0,256,0,256,38,0,38
11,"Food, Beverages & Tobacco",86775,81,86856,12998,12,13010,-209,30,-178,-31,5,-27,64,0,64,9,0,9,90548,81,90628,13474,12,13486
12,Forest Materials,911,0,911,137,0,137,4,0,4,1,0,1,0,0,0,0,0,0,902,0,902,134,0,134
13,General Industrials,14151,385,14536,2120,58,2177,33,0,33,5,0,5,173,0,173,26,0,26,14577,385,14962,2169,57,2226
14,Hardware Technology & Equipment,33,0,33,5,0,5,-2,0,-2,0,0,0,1,0,1,0,0,0,32,0,32,5,0,5
15,Healthcare Equipment & Supplies,5,0,5,1,0,1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,3,0,3,0,0,0
16,Healthcare Services,9182,0,9182,1375,0,1375,21,0,21,3,0,3,27,0,27,4,0,4,9456,0,9456,1407,0,1407
17,"Hotels, Restaurants & Tourism",6557,125,6682,982,19,1001,-3,0,-3,0,0,0,-319,0,-319,-47,0,-47,5810,125,5935,864,19,883
18,Household & Personal Products,71231,0,71231,10670,0,10670,-139,0,-139,-21,0,-21,-403,0,-403,-60,0,-60,71622,0,71622,10658,0,10658
19,Media,30557,764,31320,4577,114,4691,128,0,128,19,0,19,107,2,109,16,0,16,30356,767,31123,4517,114,4631
20,Metals & Mining,25338,715,26053,3795,107,3902,484,-55,429,72,-8,64,128,-50,78,19,-7,12,27393,664,28057,4076,99,4175
21,Oil & Gas,102233,49,102281,15313,7,15321,-313,-110,-423,-47,-16,-63,-736,0,-736,-109,0,-109,102307,49,102355,15224,7,15231
22,Pharmaceuticals & Biotechnology,153921,0,153921,23056,0,23056,-235,0,-235,-35,0,-35,-1635,0,-1635,-243,0,-243,149741,0,149741,22282,0,22282
23,Realty,14137,247,14384,2118,37,2155,43,-63,-19,6,-9,-3,49,0,49,7,0,7,14964,247,15211,2227,37,2263
24,Retailing,6480,0,6480,971,0,971,77,0,77,12,0,12,49,0,49,7,0,7,6799,0,6799,1012,0,1012
25,Software & Services,260139,0,260139,38966,0,38966,-1045,0,-1045,-157,0,-157,-316,0,-316,-47,0,-47,266643,0,266643,39677,0,39677
26,Telecom Services,37638,2655,40293,5638,398,6035,-76,-458,-534,-11,-69,-80,-340,-60,-401,-51,-9,-60,37066,2594,39661,5516,386,5902
27,Telecommunications Equipment,217,0,217,32,0,32,-1,0,-1,0,0,0,0,0,0,0,0,0,213,0,213,32,0,32
28,"Textiles, Apparels & Accessories",30370,0,30370,4549,0,4549,124,0,124,19,0,19,197,0,197,29,0,29,31040,0,31040,4619,0,4619
29,Transportation,29780,785,30565,4461,118,4578,-183,-300,-483,-27,-45,-72,-238,-40,-278,-35,-6,-41,30406,735,31141,4524,109,4634
29 a,Airlines,490,699,1189,73,105,178,5,0,5,1,0,1,-61,0,-61,-9,0,-9,380,699,1079,56,104,160
29 b,Logistics,2822,1,2824,423,0,423,-7,0,-7,-1,0,-1,-10,0,-10,-1,0,-1,2899,1,2900,431,0,431
29 c,Marine Port & Services,15158,0,15158,2270,0,2270,-235,0,-235,-35,0,-35,-223,0,-223,-33,0,-33,15187,0,15187,2260,0,2260
29 d,Roads & Highways,2519,85,2604,377,13,390,29,-300,-271,4,-45,-41,-21,-40,-61,-3,-6,-9,2535,35,2570,377,5,382
