0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on October 31, 2016","AUC as on October 31, 2016","AUC as on October 31, 2016","AUC as on October 31, 2016","AUC as on October 31, 2016","AUC as on October 31, 2016","Net Investment October 16-31, 2016","Net Investment October 16-31, 2016","Net Investment October 16-31, 2016","Net Investment October 16-31, 2016","Net Investment October 16-31, 2016","Net Investment October 16-31, 2016","Net Investment November 01-15, 2016","Net Investment November 01-15, 2016","Net Investment November 01-15, 2016","Net Investment November 01-15, 2016","Net Investment November 01-15, 2016","Net Investment November 01-15, 2016","AUC as on November 15, 2016","AUC as on November 15, 2016","AUC as on November 15, 2016","AUC as on November 15, 2016","AUC as on November 15, 2016","AUC as on November 15, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,150997,317,151315,22585,47,22633,-270,0,-270,-40,0,-40,-446,0,-446,-66,0,-66,132376,317,132693,19548,47,19595
2,Total Financial Services,480600,35123,515723,71885,5253,77139,-804,-1485,-2289,-120,-222,-342,-1378,-352,-1730,-203,-52,-255,436586,34677,471263,64472,5121,69593
2a,Banks,223291,3383,226675,33399,506,33905,-309,423,114,-46,63,17,-384,96,-288,-57,14,-43,215746,3381,219128,31860,499,32359
2b,Other Financial Services1,257309,31740,289048,38487,4747,43234,-496,-1908,-2403,-74,-285,-359,-994,-448,-1442,-147,-66,-213,220840,31295,252135,32612,4621,37234
3,Capital Goods,128583,847,129430,19233,127,19359,-650,0,-650,-97,0,-97,-262,0,-262,-39,0,-39,114128,847,114976,16854,125,16979
4,Chemicals & Petrochemicals,32468,0,32468,4856,0,4856,-78,0,-78,-12,0,-12,-174,0,-174,-26,0,-26,27991,0,27991,4134,0,4134
5,Coal,15018,0,15018,2246,0,2246,-953,0,-953,-143,0,-143,-37,0,-37,-5,0,-5,14418,0,14418,2129,0,2129
6,Commercial Services & Supplies,4689,200,4889,701,30,731,-94,0,-94,-14,0,-14,-70,0,-70,-10,0,-10,4052,200,4252,598,30,628
7,Construction Materials,54280,899,55178,8119,134,8253,-78,0,-78,-12,0,-12,-77,0,-77,-11,0,-11,46176,899,47075,6819,133,6952
8,Consumer Durables,3850,0,3850,576,0,576,-25,0,-25,-4,0,-4,-6,0,-6,-1,0,-1,3193,0,3193,471,0,471
9,Diversified2,3912,0,3912,585,0,585,-32,0,-32,-5,0,-5,-40,0,-40,-6,0,-6,3420,0,3420,505,0,505
10,Diversified Consumer Services,271,0,271,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,238,0,238,35,0,35
11,"Food, Beverages & Tobacco",95680,89,95768,14311,13,14324,-321,0,-321,-48,0,-48,401,0,401,59,0,59,90600,89,90689,13379,13,13392
12,Forest Materials,1268,0,1268,190,0,190,4,0,4,1,0,1,1,0,1,0,0,0,1038,0,1038,153,0,153
13,General Industrials,18314,385,18699,2739,58,2797,180,0,180,27,0,27,-37,0,-37,-5,0,-5,16720,385,17105,2469,57,2526
14,Hardware Technology & Equipment,53,0,53,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,6,0,6
15,Healthcare Equipment & Supplies,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
