0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","AUC as on October 31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment October 16-31, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,272857,0,10,0,272877,33116,0,2,0,33118,1477,0,0,0,1477,179,0,0,0,179,2251,0,0,0,2251,276,0,0,0,276,268885,0,11,0,268896,33021,0,2,0,33023
2,Capital Goods,125493,403,0,0,125896,15231,49,0,0,15280,525,0,0,0,525,64,0,0,0,64,1640,0,0,0,1640,201,0,0,0,201,127902,403,0,0,128305,15707,49,0,0,15756
3,Chemicals,104451,0,0,0,104451,12677,0,0,0,12677,281,0,0,0,281,34,0,0,0,34,675,0,0,0,675,83,0,0,0,83,104566,0,0,0,104566,12842,0,0,0,12842
4,Construction,69625,623,2208,0,72456,8450,76,268,0,8794,724,0,0,0,724,88,0,0,0,88,545,0,0,0,545,67,0,0,0,67,69615,623,2208,0,72446,8549,77,271,0,8897
5,Construction Materials,79272,1195,783,0,81250,9621,145,95,0,9861,41,0,0,0,41,5,0,0,0,5,623,0,0,0,623,76,0,0,0,76,83133,1195,783,0,85111,10209,147,96,0,10452
6,Consumer Durables,171705,0,0,0,171705,20840,0,0,0,20840,-30,0,0,0,-30,-4,0,0,0,-4,-436,0,0,0,-436,-54,0,0,0,-54,168881,0,0,0,168881,20740,0,0,0,20740
7,Consumer Services,120117,419,420,0,120956,14578,51,51,0,14680,308,0,0,0,308,37,0,0,0,37,1680,0,0,0,1680,206,0,0,0,206,117351,419,420,0,118190,14412,52,52,0,14516
8,Diversified,1636,188,0,0,1824,199,23,0,0,222,-21,-12,0,0,-33,-3,-1,0,0,-4,-2,0,0,0,-2,0,0,0,0,0,1603,188,0,0,1791,197,23,0,0,220
9,Fast Moving Consumer Goods,317772,175,128,0,318075,38568,21,15,0,38604,488,-2,0,0,486,59,0,0,0,59,3514,0,0,0,3514,431,0,0,0,431,318667,175,128,0,318970,39135,22,16,0,39173
10,Financial Services,1534042,15951,5130,0,1555123,186185,1936,623,0,188744,-605,267,100,0,-238,-73,32,12,0,-29,11452,-93,-26,0,11333,1406,-12,-3,0,1391,1585145,15824,5548,0,1606517,194668,1943,681,0,197292
11,Forest Materials,1880,440,0,0,2320,228,53,0,0,281,37,0,0,0,37,5,0,0,0,5,34,0,0,0,34,4,0,0,0,4,1825,440,0,0,2265,224,54,0,0,278
12,Healthcare,240392,297,0,0,240689,29176,36,0,0,29212,664,0,0,0,664,81,0,0,0,81,719,0,0,0,719,88,0,0,0,88,238048,364,0,0,238412,29234,45,0,0,29279
13,Information Technology,508489,0,340,0,508829,61715,0,41,0,61756,2610,0,0,0,2610,317,0,0,0,317,3005,0,0,0,3005,369,0,0,0,369,530608,0,340,0,530948,65163,0,42,0,65205
14,"Media, Entertainment & Publication",22288,0,155,0,22443,2705,0,19,0,2724,349,0,0,0,349,42,0,0,0,42,18,0,0,0,18,2,0,0,0,2,22356,0,155,0,22511,2746,0,19,0,2765
15,Metals & Mining,146884,16,12,0,146912,17827,2,1,0,17830,277,0,0,0,277,34,0,0,0,34,1620,0,0,0,1620,199,0,0,0,199,169021,16,12,0,169049,20757,2,1,0,20760
16,"Oil, Gas & Consumable Fuels",547878,321,281,0,548480,66495,39,34,0,66568,-497,0,-80,0,-577,-60,0,-10,0,-70,1765,0,0,0,1765,217,0,0,0,217,565227,321,281,0,565829,69414,39,35,0,69488
