0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","AUC as on October 31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment October 16-31, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,162755,317,0,163072,22985,45,0,23030,-265,0,0,-265,-37,0,0,-37,-103,0,0,-103,-14,0,0,-14,156387,317,0,156704,21808,44,0,21852
2,Total Financial Services,1063913,49627,0,1113540,150250,7009,0,157259,6147,-492,0,5655,868,-69,0,799,7345,-3048,0,4297,1024,-425,0,599,1113365,46708,0,1160073,155257,6513,0,161770
2a,Banks,637479,7824,0,645303,90027,1105,0,91132,4993,-25,0,4968,705,-4,0,701,6629,-47,0,6582,924,-7,0,917,663263,7774,0,671037,92491,1084,0,93575
2b,Other Financial Services1,426433,41803,0,468236,60223,5904,0,66127,1154,-467,0,687,163,-66,0,97,716,-3002,0,-2286,100,-419,0,-319,450102,38933,0,489035,62766,5429,0,68195
3,Capital Goods,100940,483,0,101423,14255,68,0,14323,760,0,0,760,107,0,0,107,686,0,0,686,96,0,0,96,96958,483,0,97441,13521,67,0,13588
4,Chemicals & Petrochemicals,43899,0,0,43899,6200,0,0,6200,-208,0,0,-208,-29,0,0,-29,13,0,0,13,2,0,0,2,40772,0,0,40772,5686,0,0,5686
5,Coal,11142,0,0,11142,1574,0,0,1574,95,0,0,95,13,0,0,13,81,0,0,81,11,0,0,11,10876,0,0,10876,1517,0,0,1517
6,Commercial Services & Supplies,8889,200,0,9089,1255,28,0,1283,83,0,0,83,12,0,0,12,33,0,0,33,5,0,0,5,8786,200,0,8986,1225,28,0,1253
7,Construction Materials,55139,599,0,55738,7787,85,0,7872,237,0,0,237,33,0,0,33,-31,0,0,-31,-4,0,0,-4,54430,599,0,55029,7590,84,0,7674
8,Consumer Durables,51643,0,0,51643,7293,0,0,7293,270,0,0,270,38,0,0,38,267,0,0,267,37,0,0,37,50609,0,0,50609,7057,0,0,7057
9,Diversified2,2839,0,0,2839,401,0,0,401,-382,0,0,-382,-54,0,0,-54,-21,0,0,-21,-3,0,0,-3,2851,0,0,2851,398,0,0,398
10,Diversified Consumer Services,3117,0,0,3117,440,0,0,440,-8,0,0,-8,-1,0,0,-1,-17,0,0,-17,-2,0,0,-2,2751,0,0,2751,384,0,0,384
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",111311,719,0,112030,15720,102,0,15822,43,-23,0,20,6,-3,0,3,-438,-17,0,-455,-61,-2,0,-63,108323,708,0,109031,15105,99,0,15204
13,Forest Materials,988,434,0,1422,140,61,0,201,6,99,0,105,1,14,0,15,-15,0,0,-15,-2,0,0,-2,994,434,0,1428,139,61,0,200
14,General Industrials,17869,385,0,18254,2524,54,0,2578,-48,0,0,-48,-7,0,0,-7,-84,0,0,-84,-12,0,0,-12,17904,385,0,18289,2497,54,0,2551
15,Hardware Technology & Equipment,30,0,0,30,4,0,0,4,0,0,0,0,0,0,0,0,6,0,0,6,1,0,0,1,31,0,0,31,4,0,0,4
16,Healthcare Equipment & Supplies,92,0,0,92,13,0,0,13,-1,0,0,-1,0,0,0,0,-14,0,0,-14,-2,0,0,-2,82,0,0,82,11,0,0,11
17,Healthcare Services,20390,0,0,20390,2879,0,0,2879,110,0,0,110,16,0,0,16,202,0,0,202,28,0,0,28,20010,0,0,20010,2790,0,0,2790
18,"Hotels, Restaurants & Tourism",13396,104,0,13500,1892,15,0,1907,11,0,0,11,2,0,0,2,-90,0,0,-90,-13,0,0,-13,13379,104,0,13483,1866,14,0,1880
19,Household & Personal Products,119049,0,0,119049,16813,0,0,16813,233,0,0,233,33,0,0,33,273,0,0,273,38,0,0,38,114882,0,0,114882,16020,0,0,16020
20,Insurance,70832,0,0,70832,10003,0,0,10003,6889,0,0,6889,973,0,0,973,363,0,0,363,51,0,0,51,76372,0,0,76372,10650,0,0,10650
21,Media,20512,199,0,20711,2897,28,0,2925,591,1,0,592,83,0,0,83,110,3,0,113,15,0,0,15,21657,204,0,21861,3020,28,0,3048
22,Metals & Mining,41377,552,0,41929,5843,78,0,5921,-10,0,0,-10,-1,0,0,-1,156,0,0,156,22,0,0,22,42315,591,0,42906,5901,82,0,5983
23,Oil & Gas,289828,5425,0,295253,40931,766,0,41697,2837,-377,0,2460,401,-53,0,348,3327,-163,0,3164,464,-23,0,441,290337,5272,0,295609,40487,735,0,41222
24,Pharmaceuticals & Biotechnology,102115,500,0,102615,14421,71,0,14492,-199,0,0,-199,-28,0,0,-28,-1006,0,0,-1006,-140,0,0,-140,99740,500,0,100240,13909,70,0,13979
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,28866,572,0,29438,4077,81,0,4158,13,0,0,13,2,0,0,2,242,0,0,242,34,0,0,34,29697,572,0,30269,4141,80,0,4221
27,Retailing,34308,150,0,34458,4845,21,0,4866,88,0,0,88,12,0,0,12,89,0,0,89,12,0,0,12,33532,150,0,33682,4676,21,0,4697
28,Software & Services,334936,0,0,334936,47301,0,0,47301,-3326,0,0,-3326,-470,0,0,-470,-800,0,0,-800,-112,0,0,-112,329990,0,0,329990,46017,0,0,46017
29,Telecom Services,53291,557,0,53848,7526,79,0,7605,-734,-105,0,-839,-104,-15,0,-119,116,-5,0,111,16,-1,0,15,57881,557,0,58438,8071,78,0,8149
30,Telecommunications Equipment,155,0,0,155,22,0,0,22,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,151,0,0,151,21,0,0,21
31,"Textiles, Apparels & Accessories",47517,0,0,47517,6711,0,0,6711,78,0,0,78,11,0,0,11,-585,0,0,-585,-82,0,0,-82,43523,0,0,43523,6069,0,0,6069
32,Transportation,43197,699,0,43896,6100,99,0,6199,-754,0,0,-754,-106,0,0,-106,-266,0,0,-266,-37,0,0,-37,41327,699,0,42026,5763,97,0,5860
32 a,Airlines,8995,699,0,9694,1270,99,0,1369,30,0,0,30,4,0,0,4,49,0,0,49,7,0,0,7,9070,699,0,9769,1265,97,0,1362
32 b,Logistics,1678,0,0,1678,237,0,0,237,-28,0,0,-28,-4,0,0,-4,-11,0,0,-11,-2,0,0,-2,1603,0,0,1603,224,0,0,224
32 c,Marine Port & Services,17291,0,0,17291,2442,0,0,2442,-457,0,0,-457,-65,0,0,-65,-251,0,0,-251,-35,0,0,-35,15788,0,0,15788,2202,0,0,2202
32 d,Roads & Highways,1742,0,0,1742,246,0,0,246,-18,0,0,-18,-3,0,0,-3,-11,0,0,-11,-2,0,0,-2,1641,0,0,1641,229,0,0,229
32 e,Shipping,1164,0,0,1164,164,0,0,164,2,0,0,2,0,0,0,0,6,0,0,6,1,0,0,1,1184,0,0,1184,165,0,0,165
32 f,Surface Transportation,42,0,0,42,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,6,0,0,6
32 g,Transport Related Services,9878,0,0,9878,1395,0,0,1395,-288,0,0,-288,-41,0,0,-41,-37,0,0,-37,-5,0,0,-5,9504,0,0,9504,1325,0,0,1325
32 h,Airport Services,2407,0,0,2407,340,0,0,340,5,0,0,5,1,0,0,1,-10,0,0,-10,-1,0,0,-1,2495,0,0,2495,348,0,0,348
33,Utilities3,87767,4029,0,91796,12395,569,0,12964,86,-20,0,66,12,-3,0,9,-594,19,0,-575,-83,3,0,-80,83795,4052,0,87847,11685,565,0,12250
34,Sovereign,0,215385,0,215385,0,30418,0,30418,0,4782,0,4782,0,675,0,675,0,8191,0,8191,0,1142,0,1142,0,224643,0,224643,0,31326,0,31326
35,Others4,17083,158129,12267,187479,2413,22332,1732,26477,-906,-79,24,-961,-128,-11,3,-136,5190,-213,48,5025,724,-30,7,701,16086,155620,12389,184095,2243,21701,1728,25672
