0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on September 30, 2017","AUC as on September 30, 2017","AUC as on September 30, 2017","AUC as on September 30, 2017","AUC as on September 30, 2017","AUC as on September 30, 2017","Net Investment September 16-30, 2017","Net Investment September 16-30, 2017","Net Investment September 16-30, 2017","Net Investment September 16-30, 2017","Net Investment September 16-30, 2017","Net Investment September 16-30, 2017","Net Investment October 01-15, 2017","Net Investment October 01-15, 2017","Net Investment October 01-15, 2017","Net Investment October 01-15, 2017","Net Investment October 01-15, 2017","Net Investment October 01-15, 2017","AUC as on October 15, 2017","AUC as on October 15, 2017","AUC as on October 15, 2017","AUC as on October 15, 2017","AUC as on October 15, 2017","AUC as on October 15, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,176003,347,176351,26930,53,26983,-241,0,-241,-37,0,-37,823,0,823,127,0,127,179054,347,179401,27576,54,27630
2,Total Financial Services,608359,54395,662754,93085,8323,101408,-2855,-961,-3815,-437,-147,-584,-571,1959,1389,-88,302,214,627249,56628,683877,96604,8721,105325
2a,Banks,290659,5624,296282,44474,860,45334,-1965,-140,-2105,-301,-21,-322,-89,-7,-96,-14,-1,-15,302592,5624,308216,46603,866,47469
2b,Other Financial Services1,317701,48771,366472,48611,7462,56074,-890,-820,-1710,-136,-126,-262,-482,1967,1485,-74,303,229,324658,51004,375661,50001,7855,57856
3,Capital Goods,125751,883,126634,19241,135,19376,-1187,0,-1187,-182,0,-182,-427,0,-427,-66,0,-66,129423,884,130308,19933,136,20069
4,Chemicals & Petrochemicals,33722,0,33722,5160,0,5160,-296,0,-296,-45,0,-45,-413,0,-413,-64,0,-64,35087,0,35087,5404,0,5404
5,Coal,9639,0,9639,1475,0,1475,-207,0,-207,-32,0,-32,416,0,416,64,0,64,10641,0,10641,1639,0,1639
6,Commercial Services & Supplies,6697,200,6897,1025,31,1055,31,0,31,5,0,5,-87,0,-87,-13,0,-13,6763,200,6963,1042,31,1072
7,Construction Materials,56704,649,57353,8676,99,8776,-484,0,-484,-74,0,-74,-44,0,-44,-7,0,-7,58589,649,59238,9023,100,9123
8,Consumer Durables,4131,0,4131,632,0,632,16,0,16,2,0,2,-36,0,-36,-6,0,-6,4157,0,4157,640,0,640
9,Diversified2,1901,0,1901,291,0,291,-2,0,-2,0,0,0,-6,0,-6,-1,0,-1,1918,0,1918,295,0,295
10,Diversified Consumer Services,234,0,234,36,0,36,-2,0,-2,0,0,0,0,0,0,0,0,0,251,0,251,39,0,39
11,"Food, Beverages & Tobacco",97865,89,97953,14974,14,14988,-1375,0,-1375,-210,0,-210,-437,0,-437,-67,0,-67,99997,89,100085,15401,14,15414
12,Forest Materials,1364,0,1364,209,0,209,-5,0,-5,-1,0,-1,-54,0,-54,-8,0,-8,1354,0,1354,209,0,209
13,General Industrials,16900,385,17285,2586,59,2645,-226,0,-226,-35,0,-35,-1,0,-1,0,0,0,20498,385,20883,3157,59,3216
14,Hardware Technology & Equipment,40,0,40,6,0,6,13,0,13,2,0,2,-1,0,-1,0,0,0,42,0,42,6,0,6
15,Healthcare Equipment & Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Healthcare Services,9189,0,9189,1406,0,1406,5,0,5,1,0,1,38,0,38,6,0,6,9781,0,9781,1506,0,1506
17,"Hotels, Restaurants & Tourism",8046,125,8171,1231,19,1250,78,0,78,12,0,12,10,58,67,2,9,10,8128,182,8310,1252,28,1280
18,Household & Personal Products,84908,0,84908,12992,0,12992,-616,0,-616,-94,0,-94,-525,0,-525,-81,0,-81,88421,0,88421,13618,0,13618
19,Media,33067,689,33756,5060,105,5165,-92,-2,-94,-14,0,-14,-291,-108,-398,-45,-17,-61,32398,578,32976,4990,89,5079
20,Metals & Mining,56526,801,57327,8649,123,8772,344,-78,266,53,-12,41,357,-6,351,55,-1,54,60993,806,61799,9394,124,9518
21,Oil & Gas,181014,143,181157,27697,22,27719,-1428,-15,-1443,-218,-2,-221,-16,747,731,-2,115,113,197169,876,198045,30366,135,30501
22,Pharmaceuticals & Biotechnology,102779,0,102779,15726,0,15726,-1055,0,-1055,-161,0,-161,-277,0,-277,-43,0,-43,105829,0,105829,16299,0,16299
23,Realty,22113,551,22664,3384,84,3468,322,0,322,49,0,49,-308,0,-308,-47,0,-47,22778,551,23329,3508,85,3593
24,Retailing,7189,0,7189,1100,0,1100,-25,0,-25,-4,0,-4,28,0,28,4,0,4,7517,0,7517,1158,0,1158
25,Software & Services,214738,0,214738,32857,0,32857,-978,0,-978,-150,0,-150,-1091,0,-1091,-168,0,-168,222745,0,222745,34305,0,34305
26,Telecom Services,36727,1811,38538,5620,277,5897,-200,-220,-420,-31,-34,-64,-141,0,-141,-22,0,-22,39392,1811,41204,6067,279,6346
27,Telecommunications Equipment,470,0,470,72,0,72,39,0,39,6,0,6,-1,0,-1,0,0,0,478,0,478,74,0,74
28,"Textiles, Apparels & Accessories",30625,9,30634,4686,1,4687,39,0,39,6,0,6,-80,0,-80,-12,0,-12,31840,9,31849,4904,1,4905
29,Transportation,35113,719,35833,5373,110,5483,-857,0,-857,-131,0,-131,-437,0,-437,-67,0,-67,36430,719,37149,5611,111,5721
29 a,Airlines,842,699,1541,129,107,236,-21,0,-21,-3,0,-3,-1,0,-1,0,0,0,911,699,1609,140,108,248
29 b,Logistics,2433,0,2433,372,0,372,52,0,52,8,0,8,1,0,1,0,0,0,2470,0,2471,380,0,381
29 c,Marine Port & Services,19380,0,19380,2965,0,2965,-734,0,-734,-112,0,-112,-303,0,-303,-47,0,-47,20678,0,20678,3185,0,3185
29 d,Roads & Highways,2191,20,2211,335,3,338,-98,0,-98,-15,0,-15,-55,0,-55,-8,0,-8,2065,20,2085,318,3,321
29 e,Shipping,1562,0,1562,239,0,239,-6,0,-6,-1,0,-1,-7,0,-7,-1,0,-1,1579,0,1579,243,0,243
29 f,Surface Transportation,58,0,58,9,0,9,-1,0,-1,0,0,0,0,0,0,0,0,0,60,0,60,9,0,9
29 g,Transport Related Services,8648,0,8648,1323,0,1323,-49,0,-49,-7,0,-7,-71,0,-71,-11,0,-11,8667,0,8667,1335,0,1335
30,Utilities3,88769,6504,95273,13583,995,14578,-342,-12,-354,-52,-2,-54,646,32,679,100,5,105,91172,6556,97727,14042,1010,15051
31,Sovereign,0,240532,240532,0,36804,36804,0,-530,-530,0,-81,-81,0,940,940,0,145,145,0,242284,242284,0,37315,37315
32,Others4,517781,126277,644058,79226,19322,98547,3280,115,3395,502,18,519,1148,6680,7828,177,1029,1206,540035,133226,673262,83172,20518,103690
,Grand Total,2568366,435110,3003475,392986,66576,459562,-8307,-1702,-10009,-1271,-260,-1531,-1775,10303,8528,-273,1587,1313,2670130,446782,3116912,411231,68810,480041
