0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,148495,317,0,0,148812,20122,43,0,0,20165,-892,0,0,0,-892,-121,0,0,0,-121,1659,0,0,0,1659,226,0,0,0,226,151765,317,0,0,152082,20714,43,0,0,20757
2,Total Financial Services,856176,29393,9244,0,894813,116016,3983,1253,0,121252,-1601,4,68,0,-1529,-217,1,9,0,-207,5280,-334,343,0,5289,721,-46,47,0,722,924639,28981,9736,0,963356,126200,3956,1329,0,131485
2a,Banks,505840,7073,25,0,512938,68544,958,3,0,69505,-380,114,0,0,-266,-51,15,0,0,-36,3442,116,0,0,3558,470,16,0,0,486,547377,7191,25,0,554593,74709,981,3,0,75693
2b,Other Financial Services1,350337,22320,9218,0,381875,47472,3024,1249,0,51745,-1221,-110,68,0,-1263,-165,-15,9,0,-171,1837,-450,343,0,1730,251,-61,47,0,237,377262,21791,9711,0,408764,51491,2974,1325,0,55790
3,Capital Goods,93427,173,45,0,93645,12660,23,6,0,12689,124,0,26,0,150,17,0,4,0,21,237,-60,0,0,177,32,-8,0,0,24,90813,163,45,0,91021,12395,22,6,0,12423
4,Chemicals & Petrochemicals,43146,0,310,0,43456,5847,0,42,0,5889,-25,0,0,0,-25,-3,0,0,0,-3,185,0,0,0,185,25,0,0,0,25,42875,0,310,0,43185,5852,0,42,0,5894
5,Coal,5193,0,0,0,5193,704,0,0,0,704,-238,0,0,0,-238,-32,0,0,0,-32,-182,0,0,0,-182,-25,0,0,0,-25,4834,0,0,0,4834,660,0,0,0,660
