0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","Net Investment October 01-15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018","AUC as on October 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,181485,317,0,181802,25016,44,0,25060,-1921,0,0,-1921,-265,0,0,-265,-2341,0,0,-2341,-316,0,0,-316,170664,317,0,170981,23072,43,0,23115
2,Total Financial Services,886764,57370,0,944134,122232,7908,0,130140,-3089,-1618,0,-4707,-426,-223,0,-649,-3947,-1692,0,-5639,-534,-229,0,-763,883612,55730,0,939342,119454,7534,0,126988
2a,Banks,517427,6562,0,523989,71323,905,0,72228,-3530,-207,0,-3737,-487,-29,0,-516,-4081,9,0,-4072,-552,1,0,-551,517412,6551,0,523963,69948,886,0,70834
2b,Other Financial Services1,369337,50808,0,420145,50910,7003,0,57913,440,-1411,0,-971,61,-195,0,-134,134,-1702,0,-1568,18,-230,0,-212,366199,49179,0,415378,49506,6648,0,56154
3,Capital Goods,98442,483,0,98925,13569,67,0,13636,-87,0,0,-87,-12,0,0,-12,-1262,0,0,-1262,-171,0,0,-171,94055,483,0,94538,12715,65,0,12780
4,Chemicals & Petrochemicals,34679,0,0,34679,4780,0,0,4780,-44,0,0,-44,-6,0,0,-6,-238,0,0,-238,-32,0,0,-32,33614,0,0,33614,4544,0,0,4544
5,Coal,9553,0,0,9553,1317,0,0,1317,-34,0,0,-34,-5,0,0,-5,-2,0,0,-2,0,0,0,0,9901,0,0,9901,1339,0,0,1339
