0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","AUC as on August 31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment August 16-31, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","Net Investment September 01-15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020","AUC as on September 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,147992,317,0,0,148309,20109,43,0,0,20152,591,0,0,0,591,80,0,0,0,80,-418,0,0,0,-418,-57,0,0,0,-57,150818,317,0,0,151135,20543,43,0,0,20586
2,Total Financial Services,920984,29291,9389,0,959664,125142,3980,1276,0,130398,2909,-931,378,0,2356,395,-127,51,0,319,-295,28,-52,0,-319,-40,4,-7,0,-43,887249,29480,9382,0,926111,120851,4015,1278,0,126144
2a,Banks,550692,6715,0,0,557407,74827,912,0,0,75739,1709,-48,0,0,1661,232,-6,0,0,226,132,151,23,0,306,18,21,3,0,42,525667,6925,25,0,532617,71600,943,3,0,72546
2b,Other Financial Services1,370292,22577,9389,0,402258,50315,3068,1276,0,54659,1200,-883,378,0,695,163,-120,51,0,94,-426,-123,-76,0,-625,-58,-17,-10,0,-85,361583,22554,9357,0,393494,49251,3072,1274,0,53597
3,Capital Goods,83731,223,20,0,83974,11377,30,3,0,11410,438,0,0,0,438,60,0,0,0,60,232,0,0,0,232,32,0,0,0,32,92834,223,20,0,93077,12645,30,3,0,12678
4,Chemicals & Petrochemicals,42126,0,310,0,42436,5724,0,42,0,5766,361,0,0,0,361,49,0,0,0,49,113,0,0,0,113,15,0,0,0,15,44851,0,310,0,45161,6109,0,42,0,6151
5,Coal,6341,0,0,0,6341,862,0,0,0,862,56,0,0,0,56,8,0,0,0,8,-57,0,0,0,-57,-8,0,0,0,-8,5791,0,0,0,5791,789,0,0,0,789
