0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","Net Investment September 01-15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019","AUC as on September 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,136095,317,0,136412,18966,44,0,19010,267,0,0,267,37,0,0,37,-274,0,0,-274,-39,0,0,-39,142367,317,0,142684,20069,45,0,20114
2,Total Financial Services,994025,53721,9083,1056829,138523,7486,1266,147275,-6881,-351,35,-7197,-959,-49,5,-1003,-424,165,5,-254,-60,23,1,-36,996559,53518,9190,1059267,140482,7544,1295,149321
2a,Banks,568042,7790,0,575832,79160,1086,0,80246,-3503,-263,0,-3766,-488,-37,0,-525,-383,48,0,-335,-54,7,0,-47,577846,7836,0,585682,81457,1105,0,82562
2b,Other Financial Services1,425983,45931,9083,480997,59363,6401,1266,67030,-3378,-88,35,-3431,-471,-12,5,-478,-41,117,5,81,-6,16,1,11,418712,45683,9190,473585,59025,6440,1295,66760
3,Capital Goods,87355,578,0,87933,12174,81,0,12255,-93,0,0,-93,-13,0,0,-13,205,0,0,205,29,0,0,29,90775,578,0,91353,12796,82,0,12878
4,Chemicals & Petrochemicals,40840,0,0,40840,5691,0,0,5691,154,0,0,154,22,0,0,22,-19,0,0,-19,-3,0,0,-3,42145,0,0,42145,5941,0,0,5941
5,Coal,9988,0,0,9988,1392,0,0,1392,-407,0,0,-407,-57,0,0,-57,-10,0,0,-10,-1,0,0,-1,10700,0,0,10700,1508,0,0,1508
6,Commercial Services & Supplies,6869,200,0,7069,957,28,0,985,114,0,0,114,16,0,0,16,115,0,0,115,16,0,0,16,7315,200,0,7515,1031,28,0,1059
7,Construction Materials,54022,599,0,54621,7528,83,0,7611,-816,30,0,-786,-114,4,0,-110,-537,0,0,-537,-76,0,0,-76,53524,599,0,54123,7545,84,0,7629
8,Consumer Durables,44033,0,0,44033,6136,0,0,6136,-238,0,0,-238,-33,0,0,-33,-1,0,0,-1,0,0,0,0,43346,0,0,43346,6110,0,0,6110
